,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,marker,interview opinion discrete,interview prep hours discrete
393,Non-Rural,64,69,74,69.0,70.25,,,,,,,The University of Melbourne,7.0,69.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
394,Rural,53,61,52,55.33333333,54.5,Griffith University,6.3,54.5,BMP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,BMP,4,
395,Rural,67,62,65,64.66666667,64.75,Griffith University,6.25,64.75,BMP,1.0,Yes,,,,,,0,0,0,,,Yes,Very poorly,"
",2022,,,BMP,1,
396,Non-Rural,76,62,66,68.0,67.5,The University of Western Australia,7.0,67.5,CSP,2.0,Yes,,,,,,0,0,0,,,No,Unsure,"
",2022,,,CSP,3,
397,Non-Rural,62,73,70,68.33333333,68.75,,,,,,,The University of Wollongong,5.5,68.75,"['CSP', 'BMP', 'FFP']",2.0,0,2,0,3rd,,,Poorly,"very strong portfolio
",2022,,,"['CSP', 'BMP', 'FFP']",2,
398,Non-Rural,61,70,66,65.66666667,65.75,Deakin University,6.749,65.75,CSP,1.0,Yes,,,,,,8,0,0,1st,,Yes,Unsure,"i have applied several years. i have never had my portfolio references checked- it’s such a waste of time. the uow casper system is lacking. last year i scored in the highest quintile for casper. my interview performance was insufficient to get a place. in the interim i undertook interview tutoring to solidify communication of my skills. concurrently my casper quintile dropped to the lowest quintile. given my interview skills improved sufficiently to get me into deakin, i would assume my casper score was better or equal to last year when i was unsuccessful in my interview. either this years uow cohort is significantly more emotionally intelligent (hard to accept given 2 years of lockdown), the cohort has been up skilled through tutoring, or the casper is invalid.
",2022,,,CSP,3,
399,Non-Rural,62,78,65,68.33333333,67.5,,,,,,,The University of Queensland (Metro),7.0,68.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
400,Non-Rural,68,82,73,74.33333333,74.0,,,,,,,The University of Melbourne,6.84,74.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
401,Non-Rural,74,68,90,77.33333333,80.5,The University of Melbourne,6.83,77.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,CSP,4,
402,Non-Rural,57,68,63,62.66666667,62.75,The University of Notre Dame Fremantle,6.481,62.66666667,CSP,1.0,Yes,,,,,,6,0,0,1st,Tier 3,Yes,Well,"strong portfolio, wa resident, rural experience, health professional
",2022,,,CSP,4,
403,Rural,56,65,70,63.66666667,65.25,The University of Melbourne,6.78,63.66666667,BMP,2.0,No,Deakin University,6.83,65.25,"['CSP', 'BMP']",1.0,8,0,0,,,Yes,Unsure,"
",2022,,,BMP,3,
404,Non-Rural,67,75,90,77.33333333,80.5,The University of Melbourne,6.78,77.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,No,Well,"
",2022,,,CSP,4,
405,Non-Rural,67,76,71,71.33333333,71.25,The University of Melbourne,7.0,71.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,CSP,3,
406,Non-Rural,77,86,65,76.0,73.25,The University of Wollongong,5.5,73.25,CSP,2.0,Yes,,,,,,0,0,0,1st,,Yes,Very well,"
",2022,,,CSP,5,
407,Non-Rural,65,78,72,71.66666667,71.75,The University of Notre Dame Sydney,6.87,71.66666667,FFP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"average portfolio
",2022,,,FFP,4,
408,Non-Rural,63,70,51,61.33333333,58.75,The University of Notre Dame Sydney,6.55,61.33333333,CSP,1.0,Yes,,,,,,0,0,0,2nd,,Yes,Well,"strong portfolio (diverse experiences within and outside of healthcare, non-science background)
",2022,,,CSP,4,
409,Non-Rural,72,74,74,73.33333333,73.5,,,,,,,Griffith University,6.94,73.5,['CSP'],1.0,0,0,0,,,,Well,"
",2022,,,['CSP'],4,
410,Rural,59,54,64,59.0,60.25,Deakin University,6.36,60.25,CSP,1.0,Yes,,,,,,6,0,0,2nd,,Yes,Well,"
",2022,,,CSP,4,
411,Rural,58,68,63,63.0,63.0,The University of Queensland (RMP),6.58,63.0,CSP,1.0,Yes,,,,,,0,0,5,,Tier 1,Unsure,Very well,"
",2022,,,CSP,5,
412,Rural,65,73,60,66.0,64.5,,,,,,,The University of Queensland (Metro),6.93,66.0,['CSP'],1.0,0,0,0,,,,Unsure,"
",2022,,,['CSP'],3,
413,Non-Rural,65,61,77,67.66666667,70.0,,,,,,,Griffith University,6.855,70.0,"['CSP', 'BMP']",5.0,0,0,0,2nd,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
414,Non-Rural,55,58,60,57.66666667,58.25,,,,,,,Australian National University,6.0,58.25,"['CSP', 'BMP']",2.0,0,0,0,,,,Very poorly,"
",2022,,,"['CSP', 'BMP']",1,
415,Non-Rural,52,70,74,65.33333333,67.5,,,,,,,The University of Notre Dame Sydney,6.7,65.33333333,"['CSP', 'BMP', 'FFP']",2.0,4,0,0,3rd,,,Well,"
",2022,,,"['CSP', 'BMP', 'FFP']",4,
416,Non-Rural,72,74,74,73.33333333,73.5,,,,,,,Griffith University,6.94,73.5,['CSP'],1.0,0,0,0,,,,Unsure,"
",2022,,,['CSP'],3,
417,Non-Rural,65,59,74,66.0,68.0,The University of Melbourne,6.9,66.0,FFP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,FFP,3,
418,Non-Rural,68,72,70,70.0,70.0,Griffith University,6.85,70.0,CSP,2.0,No,The University of Queensland (Metro),6.8,70.0,"['CSP', 'BMP']",1.0,0,0,0,,,Yes,Well,"
",2022,,,CSP,4,
419,Non-Rural,66,64,58,62.66666667,61.5,,,,,,,The University of Queensland (Metro),6.72,62.66666667,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
420,Non-Rural,54,70,67,63.66666667,64.5,Deakin University,6.715,64.5,CSP,4.0,No,The University of Queensland (Metro),7.0,63.66666667,"['CSP', 'BMP', 'FFP']",3.0,0,0,0,,Tier 3,Yes,Well,"
",2022,,,CSP,4,
421,Non-Rural,83,60,82,75.0,76.75,,,,,,,The University of Melbourne,6.73,75.0,"['CSP', 'BMP']",2.0,2,0,0,,,,Poorly,"
",2022,,,"['CSP', 'BMP']",2,
422,Non-Rural,55,75,68,66.0,66.5,,,,,,,The University of Melbourne,6.26,66.0,"['CSP', 'BMP', 'FFP']",3.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
423,Rural,59,62,53,58.0,56.75,The University of Western Australia,6.207,56.75,BMP,3.0,No,Griffith University,6.17,56.75,"['CSP', 'BMP']",1.0,4,0,3,,,Unsure,Unsure,"
",2022,,,BMP,3,
424,Non-Rural,67,63,58,62.66666667,61.5,,,,,,,The University of Wollongong,5.5,61.5,['CSP'],6.0,6,2,0,4th,,,Very poorly,"r
",2022,,,['CSP'],1,
425,Non-Rural,73,78,68,73.0,71.75,,,,,,,Australian National University,6.2,71.75,"['CSP', 'BMP', 'FFP']",3.0,0,2,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
426,Non-Rural,66,59,86,70.33333333,74.25,,,,,,,The University of Notre Dame Fremantle,6.42,70.33333333,"['CSP', 'BMP', 'FFP']",1.0,6,0,0,,,,Unsure,"above average portfolio and wa resident
",2022,,,"['CSP', 'BMP', 'FFP']",3,
427,Non-Rural,68,75,84,75.66666667,77.75,The University of Queensland (Metro),6.34,75.66666667,BMP,3.0,No,Australian National University,6.34,77.75,"['CSP', 'BMP', 'FFP']",2.0,0,2,0,,,Unsure,Unsure,"second round offer
",2022,,,BMP,3,
428,Non-Rural,74,67,67,69.33333333,68.75,The University of Queensland (Metro),7.0,69.33333333,BMP,1.0,Yes,,,,,,2,4,0,,Tier 3,Yes,Unsure,"
",2022,,,BMP,3,
429,Non-Rural,69,70,78,72.33333333,73.75,The University of Melbourne,7.0,72.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,CSP,4,
430,Non-Rural,51,51,51,51.0,51.0,,,,,,,Griffith University,5.0,51.0,"['CSP', 'BMP', 'FFP']",4.0,0,2,0,1st,Tier 3,,Very well,"naa
",2022,,,"['CSP', 'BMP', 'FFP']",5,
431,Rural,55,57,63,58.33333333,59.5,,,,,,,The University of Melbourne,6.1,58.33333333,"['CSP', 'BMP', 'FFP']",1.0,0,0,3,,,,Unsure,"gam, rmp unimelb applicant
",2022,,,"['CSP', 'BMP', 'FFP']",3,
432,Non-Rural,66,79,67,70.66666667,69.75,The University of Melbourne,6.75,70.66666667,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Poorly,"
",2022,,,CSP,2,
433,Non-Rural,56,71,56,61.0,59.75,,,,,,,The University of Wollongong,5.5,59.75,['CSP'],1.0,2,0,0,,,,Poorly,"
",2022,,,['CSP'],2,
434,Non-Rural,65,65,60,63.33333333,62.5,,,,,,,The University of Notre Dame Sydney,6.75,63.33333333,"['CSP', 'BMP']",2.0,0,0,0,1st,,,Well,"average portfolio strength
",2022,,,"['CSP', 'BMP']",4,
435,Non-Rural,59,61,63,61.0,61.5,,,,,,,The University of Wollongong,5.5,61.5,"['CSP', 'BMP']",4.0,0,0,0,3rd,,,Poorly,"
",2022,,,"['CSP', 'BMP']",2,
436,Non-Rural,68,75,95,79.33333333,83.25,Australian National University,7.0,83.25,CSP,6.0,Yes,,,,,,10,2,5,,,Yes,Very poorly,"
",2022,,,CSP,1,
437,Non-Rural,54,64,73,63.66666667,66.0,,,,,,,Macquarie University,6.8,66.0,['CSP'],3.0,8,2,5,,Tier 2,,Well,"heydhd
",2022,,,['CSP'],4,
438,Non-Rural,68,69,73,70.0,70.75,,,,,,,The University of Queensland (Metro),7.0,70.0,"['CSP', 'BMP']",1.0,0,2,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
439,Rural,60,78,51,63.0,60.0,,,,,,,Griffith University,6.458,60.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,4th,Tier 2,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
440,Non-Rural,55,55,55,55.0,55.0,,,,,,,The University of Notre Dame Fremantle,5.66,55.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
441,Non-Rural,65,69,75,69.66666667,71.0,The University of Wollongong,5.5,71.0,BMP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,BMP,3,
442,Non-Rural,59,81,56,65.33333333,63.0,,,,,,,The University of Notre Dame Fremantle,6.74,65.33333333,"['CSP', 'BMP', 'FFP']",2.0,2,0,0,,,,Poorly,"didnt speak about rural or indiginous health in interview
",2022,,,"['CSP', 'BMP', 'FFP']",2,
443,Non-Rural,79,71,67,72.33,71.0,,,,,,,Griffith University,6.79,71.0,"['CSP', 'BMP']",1.0,4,0,0,2nd,,,Poorly,didn’t prepare as already had other offer,2023,0-5,"Deakin, UniMelb, UNDS, UoW","['CSP', 'BMP']",2,0.0
444,Non-Rural,67,69,78,71.33,73.0,,,,,,,Macquarie University,6.43,73.0,"['CSP', 'BMP', 'FFP']",3.0,0,0,0,3rd,,,Very well,,2023,250+,"Deakin, UWA, UoW","['CSP', 'BMP', 'FFP']",5,6.0
445,Non-Rural,65,74,69,69.33,69.25,Macquarie University,6.646,69.25,FFP,3.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,3,,,Unsure,Very well,,2023,11-25,,FFP,5,2.0
446,Non-Rural,65,75,70,70.0,70.0,Griffith University,7.0,70.0,CSP,2.0,No,The University of Queensland (Metro),7.0,70.0,['CSP'],1.0,0,0,0,4th,,Unsure,Poorly,,2023,11-25,,CSP,2,2.0
447,Non-Rural,56,77,56,63.0,61.25,,,,,,,Deakin University,6.552,61.25,"['CSP', 'BMP']",1.0,12,4,0,4th,,,Unsure,,2023,11-25,"ANU, Griffith, UniMelb, UNDF, UNDS","['CSP', 'BMP']",3,2.0
448,Non-Rural,68,68,70,68.67,69.0,,,,,,,Macquarie University,6.99,69.0,"['BMP', 'FFP']",1.0,0,0,0,2nd,,,Very well,,2023,51-100,"ANU, UNDF, UNDS, UQ, UoW","['BMP', 'FFP']",5,4.0
449,Rural,54,60,51,55.0,54.0,,,,,,,The University of Melbourne,6.756,55.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,,2023,26-50,"Deakin, Griffith, MQ, UQ, UWA","['CSP', 'BMP', 'FFP']",3,3.0
450,Non-Rural,63,76,62,67.0,65.75,Macquarie University,6.917,65.75,FFP,4.0,No,The University of Notre Dame Sydney,6.667,67.0,"['CSP', 'BMP', 'FFP']",2.0,6,2,0,4th,Tier 3,Yes,Well,,2023,26-50,"ANU, MQ, UNDF, UQ",FFP,4,3.0
451,Non-Rural,74,65,70,69.67,69.75,,,,,,,The University of Melbourne,6.97,69.67,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,gam,2023,26-50,"ANU, Deakin","['CSP', 'BMP']",4,3.0
452,Non-Rural,63,85,70,72.67,72.0,,,,,,,The University of Notre Dame Sydney,6.917,72.67,"['CSP', 'BMP']",1.0,0,2,0,3rd,,,Unsure,,2023,26-50,"ANU, Deakin, UniMelb, UQ, UoW","['CSP', 'BMP']",3,3.0
453,Non-Rural,57,75,73,68.33,69.5,Deakin University,6.458,69.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,8,0,0,,,Yes,Poorly,,2023,11-25,,CSP,2,2.0
454,Rural,56,62,63,60.33,61.0,Griffith University,6.9,61.0,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,2nd,,Unsure,Well,,2023,26-50,,BMP,4,3.0
455,Non-Rural,63,74,75,70.67,71.75,,,,,,,The University of Wollongong,5.5,71.75,['CSP'],1.0,0,2,0,4th,,,Unsure,,2023,0-5,"ANU, Griffith, UniMelb, UNDS, UQ",['CSP'],3,0.0
456,Rural,54,59,58,57.0,57.25,The University of Queensland (RMP),6.53,57.0,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,,Tier 1 (DD RMP),Yes,Well,,2023,11-25,,BMP,4,2.0
457,Non-Rural,59,77,61,65.67,64.5,The University of Notre Dame Sydney,6.75,65.67,FFP,6.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,0,0,4th,,Unsure,Unsure,,2023,26-50,,FFP,3,3.0
458,Non-Rural,83,75,77,78.33,78.0,The University of Queensland (Metro),7.0,78.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,0-5,,CSP,3,0.0
459,Non-Rural,63,66,71,66.67,67.75,,,,,,,The University of Notre Dame Sydney,6.5,66.67,"['CSP', 'BMP', 'FFP']",1.0,0,0,3,4th,,,Well,,2023,11-25,"Griffith, MQ, UniMelb, UNDF, UoW","['CSP', 'BMP', 'FFP']",4,2.0
460,Rural,63,64,68,65.0,65.75,Deakin University,6.313,65.75,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,4th,,Yes,Unsure,,2023,6-10,,CSP,3,1.0
461,Non-Rural,74,83,80,79.0,79.25,,,,,,,The University of Notre Dame Sydney,5.476,79.0,"['CSP', 'BMP']",2.0,4,0,0,4th,Tier 3,,Well,,2023,26-50,"Griffith, MQ, UNDF, UQ","['CSP', 'BMP']",4,3.0
462,Rural,66,65,64,65.0,64.75,Griffith University,6.93,64.75,CSP,1.0,Yes,,,,['CSP'],,2,0,0,3rd,,Yes,Unsure,,2023,11-25,,CSP,3,2.0
463,Rural,58,70,58,62.0,61.0,The University of Queensland (RMP),6.73,62.0,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,2nd,Tier 1 (DD RMP),Yes,Very well,,2023,26-50,,CSP,5,3.0
464,Non-Rural,68,80,74,74.0,74.0,,,,,,,Deakin University,6.625,74.0,"['CSP', 'BMP']",1.0,2,0,0,2nd,,,Very well,,2023,11-25,"ANU, Griffith, UNDS, UQ","['CSP', 'BMP']",5,2.0
465,Non-Rural,60,73,88,73.67,77.25,Griffith University,6.95,77.25,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,51-100,,BMP,3,4.0
466,Non-Rural,65,74,79,72.67,74.25,Griffith University,6.813,74.25,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,2,0,4th,Tier 3,Yes,Well,"grif-gc, honours 1st class",2023,51-100,,CSP,4,4.0
467,Non-Rural,67,77,60,68.0,66.0,The University of Notre Dame Fremantle,6.75,68.0,BMP,2.0,No,The University of Notre Dame Sydney,6.75,68.0,"['CSP', 'BMP']",1.0,0,0,0,4th,,Unsure,Very well,,2023,6-10,,BMP,5,1.0
468,Non-Rural,69,74,84,75.67,77.75,The University of Notre Dame Sydney,6.9,75.67,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Very well,,2023,11-25,,CSP,5,2.0
469,Non-Rural,75,66,74,71.67,72.25,,,,,,,The University of Notre Dame Fremantle,6.625,71.67,"['CSP', 'BMP', 'FFP']",5.0,0,2,0,2nd,,,Poorly,,2023,0-5,ANU,"['CSP', 'BMP', 'FFP']",2,0.0
470,Non-Rural,71,57,80,69.33,72.0,,,,,,,The University of Queensland (RMP),6.833,69.33,"['CSP', 'BMP']",1.0,0,0,0,,Tier 3,,Well,,2023,6-10,Griffith,"['CSP', 'BMP']",4,1.0
471,Non-Rural,60,76,67,67.67,67.5,,,,,,,The University of Queensland (RMP),7.0,67.67,"['CSP', 'BMP', 'FFP']",1.0,2,2,0,4th,Tier 3,,Well,gam application also.,2023,26-50,"ANU, Deakin, UniMelb, UNDS, UWA","['CSP', 'BMP', 'FFP']",4,3.0
472,Rural,68,67,56,63.67,61.75,The University of Queensland (Metro),7.0,63.67,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,,Yes,Well,,2023,0-5,,CSP,4,0.0
473,Non-Rural,67,72,76,71.67,72.75,Deakin University,6.487,72.75,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,4,0,0,4th,,Yes,Very well,"gam, strong interview",2023,26-50,,CSP,5,3.0
474,Non-Rural,65,71,63,66.33,65.5,The University of Queensland (RMP),7.0,66.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,2,0,,Tier 3,Yes,Poorly,offer was for bundaberg,2023,0-5,,CSP,2,0.0
475,Non-Rural,61,64,62,62.33,62.25,,,,,,,The University of Notre Dame Sydney,7.0,62.33,"['CSP', 'BMP']",1.0,0,0,0,4th,,,Unsure,,2023,11-25,"ANU, Deakin, UNDF, UQ, UoW","['CSP', 'BMP']",3,2.0
476,Non-Rural,65,77,74,72.0,72.5,,,,,,,The University of Melbourne,6.93,72.0,"['CSP', 'BMP']",1.0,0,0,0,,,,Unsure,,2023,51-100,"ANU, Deakin, Griffith, MQ, UQ","['CSP', 'BMP']",3,4.0
477,Non-Rural,56,56,75,62.33,65.5,,,,,,,Deakin University,6.71,65.5,"['CSP', 'BMP', 'FFP']",1.0,6,0,0,3rd,,,Unsure,,2023,26-50,"Griffith, MQ, UniMelb, UNDS, UWA","['CSP', 'BMP', 'FFP']",3,3.0
478,Rural,74,72,70,72.0,71.5,The University of Wollongong,5.5,71.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,2nd,,Unsure,Poorly,strong portfolio (imo),2023,6-10,,CSP,2,1.0
479,Non-Rural,71,67,87,75.0,78.0,Australian National University,6.835,78.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,,Yes,Poorly,gam,2023,6-10,,CSP,2,1.0
480,Non-Rural,74,70,64,69.33,68.0,The University of Notre Dame Sydney,6.8,69.33,CSP,3.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
481,Non-Rural,67,77,57,67.0,64.5,,,,,,,The University of Notre Dame Sydney,6.824,67.0,"['CSP', 'BMP']",3.0,0,0,0,3rd,,,Unsure,,2023,11-25,"Deakin, UniMelb","['CSP', 'BMP']",3,2.0
482,Non-Rural,63,69,84,72.0,75.0,Deakin University,6.671,75.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,6,0,0,,,No,Very well,,2023,11-25,,CSP,5,2.0
483,Non-Rural,71,79,64,71.33,69.5,The University of Notre Dame Fremantle,6.585,71.33,BMP,5.0,No,The University of Notre Dame Sydney,6.585,71.33,"['CSP', 'BMP']",1.0,0,0,0,4th,,No,Unsure,,2023,11-25,"UniMelb, UWA, UoW",BMP,3,2.0
484,Non-Rural,69,63,75,69.0,70.5,,,,,,,Deakin University,6.427,70.5,"['CSP', 'BMP']",2.0,8,0,0,,,,Unsure,"interview - felt like i had hit the nail on the head with some stations, and completely missed the plot in others.",2023,6-10,"ANU, Griffith, UWA","['CSP', 'BMP']",3,1.0
485,Non-Rural,67,75,69,70.33,70.0,Deakin University,6.354,70.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,14,0,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
486,Non-Rural,61,71,65,65.67,65.5,Deakin University,6.5,65.5,CSP,5.0,No,The University of Wollongong,5.5,65.5,"['CSP', 'BMP']",2.0,2,0,0,3rd,,Yes,Unsure,,2023,6-10,"ANU, UniMelb",CSP,3,1.0
487,Non-Rural,58,76,89,74.33,78.0,,,,,,,The University of Melbourne,6.98,74.33,"['CSP', 'BMP']",1.0,0,0,0,3rd,,,Well,,2023,101-250,"ANU, Griffith, UNDS, UQ","['CSP', 'BMP']",4,5.0
488,Non-Rural,61,69,87,72.33,76.0,Australian National University,6.505,76.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,,Yes,Well,,2023,6-10,,CSP,4,1.0
489,Non-Rural,54,65,70,63.0,64.75,The University of Notre Dame Sydney,6.907,63.0,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
490,Non-Rural,73,63,76,70.67,72.0,,,,,,,The University of Melbourne,6.75,70.67,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,2nd,,,Poorly,gam,2023,26-50,"ANU, Deakin, MQ, UNDS, UoW","['CSP', 'BMP', 'FFP']",2,3.0
491,Non-Rural,62,69,65,65.33,65.25,,,,,,,The University of Notre Dame Fremantle,7.0,65.33,"['CSP', 'BMP']",1.0,0,0,0,4th,,,Well,wa resident,2023,6-10,UWA,"['CSP', 'BMP']",4,1.0
492,Non-Rural,62,67,66,65.0,65.25,The University of Queensland (RMP),6.859,65.0,CSP,1.0,Yes,,,,['CSP'],,0,0,0,4th,Tier 3,No,Well,,2023,11-25,,CSP,4,2.0
493,Non-Rural,76,68,59,67.67,65.5,The University of Notre Dame Sydney,6.913,67.67,FFP,3.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Poorly,,2023,0-5,,FFP,2,0.0
494,Rural,50,65,67,60.67,62.25,Deakin University,6.67,62.25,BMP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,8,0,0,,Tier 2,Yes,Poorly,,2023,0-5,,BMP,2,0.0
495,Non-Rural,61,57,80,66.0,69.5,Griffith University,6.885,69.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,Tier 3,Yes,Well,,2023,51-100,,CSP,4,4.0
496,Non-Rural,62,79,59,66.67,64.75,The University of Queensland (RMP),6.738,66.67,CSP,3.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,Tier 3,Yes,Poorly,,2023,26-50,,CSP,2,3.0
497,Non-Rural,69,64,75,69.33,70.75,The University of Queensland (RMP),6.868,69.33,CSP,3.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,Tier 3,Yes,Well,,2023,11-25,,CSP,4,2.0
498,Rural,57,63,83,67.67,71.5,Griffith University,6.643,71.5,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,,,Yes,Well,griffith gc,2023,51-100,,BMP,4,4.0
499,Non-Rural,60,71,75,68.67,70.25,The University of Queensland (RMP),6.94,68.67,CSP,3.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,Tier 3,Yes,Poorly,,2023,51-100,,CSP,2,4.0
500,Non-Rural,72,68,70,70.0,70.0,,,,,,,Griffith University,6.74,70.0,"['CSP', 'BMP']",1.0,0,0,0,,,,Unsure,,2023,6-10,"ANU, UniMelb, UQ","['CSP', 'BMP']",3,1.0
501,Rural,67,62,77,68.67,70.75,,,,,,,The University of Queensland (Metro),6.46,68.67,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,,2023,6-10,"ANU, Griffith, UniMelb, UWA","['CSP', 'BMP']",4,1.0
502,Non-Rural,67,61,67,65.0,65.5,,,,,,,Macquarie University,7.0,65.5,['FFP'],1.0,0,0,3,,,,Unsure,,2023,11-25,,['FFP'],3,2.0
503,Non-Rural,63,70,67,66.67,66.75,,,,,,,The University of Notre Dame Sydney,6.2,66.67,"['CSP', 'BMP']",5.0,0,0,0,4th,,,Very well,,2023,6-10,UoW,"['CSP', 'BMP']",5,1.0
504,Non-Rural,66,66,81,71.0,73.5,Deakin University,6.729,73.5,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,4,2,0,3rd,,Yes,Well,,2023,26-50,,CSP,4,3.0
505,Non-Rural,59,69,55,61.0,59.5,,,,,,,The University of Notre Dame Fremantle,6.78,61.0,"['CSP', 'BMP']",1.0,0,2,0,4th,,,Unsure,,2023,11-25,"ANU, Griffith, UniMelb, UNDS, UoW","['CSP', 'BMP']",3,2.0
506,Rural,62,71,53,62.0,59.75,The University of Queensland (RMP),7.0,62.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,12,2,0,,Tier 2,Yes,Unsure,,2023,26-50,,CSP,3,3.0
507,Non-Rural,64,68,74,68.67,70.0,The University of Wollongong,5.5,70.0,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,Yes,Unsure,strong portfolio,2023,26-50,,BMP,3,3.0
508,Rural,58,55,59,57.33,57.75,The University of Queensland (RMP),6.3,57.33,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,Tier 2,Yes,Poorly,,2023,0-5,,CSP,2,0.0
509,Non-Rural,56,73,73,67.33,68.75,,,,,,,The University of Notre Dame Fremantle,6.3,67.33,"['CSP', 'BMP']",6.0,0,0,0,3rd,,,Unsure,,2023,6-10,,"['CSP', 'BMP']",3,1.0
510,Rural,71,81,70,74.0,73.0,Deakin University,6.44,73.0,BMP,1.0,Yes,,,,['BMP'],,8,0,0,,,Yes,Well,,2023,6-10,,BMP,4,1.0
511,Non-Rural,65,71,65,67.0,66.5,,,,,,,The University of Notre Dame Fremantle,6.68,67.0,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,3rd,,,Well,,2023,11-25,"Griffith, MQ, UWA, UoW","['CSP', 'BMP', 'FFP']",4,2.0
512,Rural,71,86,80,79.0,79.25,The University of Queensland (RMP),6.906,79.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,Tier 2,Yes,Well,,2023,101-250,,CSP,4,5.0
