Timestamp	Rurality	MMI Prep (hrs)	MMI Opinion	Offering Uni	Place Type	GPA	GAMSAT	Preference	Interviewing Uni	GPA	GAMSAT	Preference	Other Rejections	Places?	GEMSAS vs Other?	Status	Notes	UQ MP/RMP Tier	CASPer Quartile	Deakin Bonus	ANU Bonus	MQ Bonus (GPA)	UW GAMSAT	W GAMSAT	S1 Score	S2 Score	S3 Score
30/10/2023 11:57:27	Non-Rural	0-5	Unsure	The University of Queensland (Greater Brisbane)	CSP	7	78.33	1						CSP, BMP	Yes			N/A	N/A	0	0	0	78.33	78	83	75	77
30/10/2023 11:57:44	Non-Rural	11-25	Well						The University of Notre Dame Sydney	6.5	66.67	1	Griffith, MQ, UniMelb, UNDF, UoW	CSP, BMP, FFP				N/A	4th	0	0	3	66.67	67.75	63	66	71
30/10/2023 11:59:30	Rural	6-10	Unsure	Deakin University	CSP	6.313	65.75	2						CSP, BMP	Yes			N/A	4th	10	0	0	65	65.75	63	64	68
30/10/2023 12:01:10	Non-Rural	26-50	Well						The University of Notre Dame Sydney	5.476	79	2	Griffith, MQ, UNDF, UQ	CSP, BMP				Tier 3	4th	4	0	0	79	79.25	74	83	80
30/10/2023 12:02:59	Rural	11-25	Unsure	Griffith University	CSP	6.93	64.75	1						CSP	Yes			N/A	3rd	2	0	0	65	64.75	66	65	64
30/10/2023 12:04:34	Rural	26-50	Very well	The University of Queensland (DD MP)	CSP	6.73	62	1						CSP, BMP, FFP	Yes			Tier 1 (DD RMP)	2nd	0	0	0	62	61	58	70	58
30/10/2023 12:04:41	Non-Rural	11-25	Very well						Deakin University	6.625	74	1	ANU, Griffith, UNDS, UQ	CSP, BMP				N/A	2nd	2	0	0	74	74	68	80	74
30/10/2023 12:06:09	Non-Rural	51-100	Unsure	Griffith University	BMP	6.95	77.25	1						CSP, BMP	Yes			N/A	N/A	0	0	0	73.67	77.25	60	73	88
30/10/2023 12:08:21	Non-Rural	51-100	Well	Griffith University	CSP	6.813	74.25	1						CSP, BMP	Yes		Grif-GC, honours 1st class	Tier 3	4th	0	2	0	72.67	74.25	65	74	79
30/10/2023 12:09:50	Non-Rural	6-10	Very well	The University of Notre Dame Fremantle	BMP	6.75	68	2	The University of Notre Dame Sydney	6.75	68	1	N/A	CSP, BMP	Unsure			N/A	4th	0	0	0	68	66	67	77	60
30/10/2023 12:10:26	Non-Rural	11-25	Very well	The University of Notre Dame Sydney	CSP	6.9	75.67	1						CSP, BMP, FFP	Yes			N/A	4th	0	0	0	75.67	77.75	69	74	84
30/10/2023 12:11:51	Non-Rural	0-5	Poorly						The University of Notre Dame Fremantle	6.625	71.67	5	ANU	CSP, BMP, FFP				N/A	2nd	0	2	0	71.67	72.25	75	66	74
30/10/2023 12:12:38	Non-Rural	6-10	Well						The University of Queensland (DD MP)	6.833	69.33	1	Griffith	CSP, BMP				Tier 3	N/A	0	0	0	69.33	72	71	57	80
30/10/2023 12:12:55	Non-Rural	26-50	Well						The University of Queensland (CQ-WB RMP)	7	67.67	1	ANU, Deakin, UniMelb, UNDS, UWA	CSP, BMP, FFP			GAM application also.	Tier 3	4th	2	2	0	67.67	67.5	60	76	67
30/10/2023 12:13:38	Rural	0-5	Well	The University of Queensland (Greater Brisbane)	CSP	7	63.67	1						CSP	Yes			N/A	N/A	0	0	0	63.67	61.75	68	67	56
30/10/2023 12:14:05	Non-Rural	26-50	Very well	Deakin University	CSP	6.487	72.75	1						CSP, BMP	Yes		GAM, strong interview	N/A	4th	4	0	0	71.67	72.75	67	72	76
30/10/2023 12:14:09	Non-Rural	0-5	Poorly	The University of Queensland (CQ-WB RMP)	CSP	7	66.33	1						CSP, BMP	Yes		Offer was for Bundaberg	Tier 3	N/A	2	2	0	66.33	65.5	65	71	63
30/10/2023 12:15:55	Non-Rural	11-25	Unsure						The University of Notre Dame Sydney	7	62.33	1	ANU, Deakin, UNDF, UQ, UoW	CSP, BMP				N/A	4th	0	0	0	62.33	62.25	61	64	62
30/10/2023 12:16:44	Non-Rural	51-100	Unsure						The University of Melbourne	6.93	72	1	ANU, Deakin, Griffith, MQ, UQ	CSP, BMP				N/A	N/A	0	0	0	72	72.5	65	77	74
30/10/2023 12:17:22	Non-Rural	26-50	Unsure						Deakin University	6.71	65.5	1	Griffith, MQ, UniMelb, UNDS, UWA	CSP, BMP, FFP				N/A	3rd	6	0	0	62.33	65.5	56	56	75
30/10/2023 12:17:34	Rural	6-10	Poorly	The University of Wollongong	CSP	5.5	71.5	1						CSP, BMP	Unsure		Strong portfolio (IMO)	N/A	2nd	0	0	0	72	71.5	74	72	70
30/10/2023 12:17:45	Non-Rural	6-10	Poorly	Australian National University	CSP	6.835	78	1						CSP, BMP	Yes		GAM	N/A	N/A	2	0	0	75	78	71	67	87
30/10/2023 12:18:17	Non-Rural	11-25	Well	The University of Notre Dame Sydney	CSP	6.8	69.33	3						CSP, BMP, FFP	Yes			N/A	4th	0	0	0	69.33	68	74	70	64
30/10/2023 12:19:06	Non-Rural	11-25	Unsure						The University of Notre Dame Sydney	6.824	67	3	Deakin, UniMelb	CSP, BMP				N/A	3rd	0	0	0	67	64.5	67	77	57
30/10/2023 12:19:10	Non-Rural	11-25	Very well	Deakin University	CSP	6.671	75	1						CSP, BMP	No			N/A	N/A	6	0	0	72	75	63	69	84
30/10/2023 12:20:24	Non-Rural	11-25	Unsure	The University of Notre Dame Fremantle	BMP	6.585	71.33	5	The University of Notre Dame Sydney	6.585	71.33	1	UniMelb, UWA, UoW	CSP, BMP	No			N/A	4th	0	0	0	71.33	69.5	71	79	64
30/10/2023 12:23:16	Non-Rural	6-10	Unsure						Deakin University	6.427	70.5	2	ANU, Griffith, UWA	CSP, BMP			Interview - felt like I had hit the nail on the head with some stations, and completely missed the plot in others.	N/A	N/A	8	0	0	69	70.5	69	63	75
30/10/2023 12:23:59	Non-Rural	11-25	Well	Deakin University	CSP	6.354	70	1						CSP, BMP	Yes			N/A	4th	14	0	0	70.33	70	67	75	69
30/10/2023 12:24:11	Non-Rural	6-10	Unsure	Deakin University	CSP	6.5	65.5	5	The University of Wollongong	5.5	65.5	2	ANU, UniMelb	CSP, BMP	Yes			N/A	3rd	2	0	0	65.67	65.5	61	71	65
30/10/2023 12:24:29	Non-Rural	101-250	Well						The University of Melbourne	6.98	74.33	1	ANU, Griffith, UNDS, UQ	CSP, BMP				N/A	3rd	0	0	0	74.33	78	58	76	89
30/10/2023 12:24:37	Non-Rural	6-10	Well	Australian National University	CSP	6.505	76	1						CSP, BMP	Yes			N/A	N/A	2	0	0	72.33	76	61	69	87
30/10/2023 12:25:25	Non-Rural	26-50	Unsure	The University of Notre Dame Sydney	CSP	6.907	63	2						CSP, BMP	Yes			N/A	4th	0	0	0	63	64.75	54	65	70
30/10/2023 12:28:28	Non-Rural	26-50	Poorly						The University of Melbourne	6.75	70.67	1	ANU, Deakin, MQ, UNDS, UoW	CSP, BMP, FFP			GAM	N/A	2nd	0	0	0	70.67	72	73	63	76
30/10/2023 12:29:02	Non-Rural	6-10	Well						The University of Notre Dame Fremantle	7	65.33	1	UWA	CSP, BMP			WA resident	N/A	4th	0	0	0	65.33	65.25	62	69	65
30/10/2023 12:29:23	Non-Rural	11-25	Well	The University of Queensland (CQ-WB RMP)	CSP	6.859	65	1						CSP	No			Tier 3	4th	0	0	0	65	65.25	62	67	66
30/10/2023 12:29:54	Non-Rural	0-5	Poorly	The University of Notre Dame Sydney	FFP	6.913	67.67	3						CSP, BMP, FFP	Yes			N/A	4th	0	0	0	67.67	65.5	76	68	59
30/10/2023 12:30:14	Rural	0-5	Poorly	Deakin University	BMP	6.67	62.25	1						CSP, BMP, FFP	Yes			Tier 2	N/A	8	0	0	60.67	62.25	50	65	67
30/10/2023 12:30:39	Non-Rural	51-100	Well	Griffith University	CSP	6.885	69.5	1						CSP, BMP	Yes			Tier 3	N/A	0	0	0	66	69.5	61	57	80
30/10/2023 12:31:33	Non-Rural	26-50	Poorly	The University of Queensland (CQ-WB RMP)	CSP	6.738	66.67	3						CSP, BMP	Yes			Tier 3	N/A	0	0	0	66.67	64.75	62	79	59
30/10/2023 12:32:39	Non-Rural	11-25	Well	The University of Queensland (CQ-WB RMP)	CSP	6.868	69.33	3						CSP, BMP	Yes			Tier 3	N/A	0	0	0	69.33	70.75	69	64	75
30/10/2023 12:32:43	Rural	51-100	Well	Griffith University	BMP	6.643	71.5	1						CSP, BMP	Yes		Griffith GC	N/A	N/A	10	0	0	67.67	71.5	57	63	83
30/10/2023 12:33:23	Non-Rural	51-100	Poorly	The University of Queensland (CQ-WB RMP)	CSP	6.94	68.67	3						CSP, BMP	Yes			Tier 3	N/A	2	0	0	68.67	70.25	60	71	75
30/10/2023 12:33:42	Non-Rural	6-10	Unsure						Griffith University	6.74	70	1	ANU, UniMelb, UQ	CSP, BMP				N/A	N/A	0	0	0	70	70	72	68	70
30/10/2023 12:34:33	Rural	6-10	Well						The University of Queensland (Greater Brisbane)	6.46	68.67	1	ANU, Griffith, UniMelb, UWA	CSP, BMP				N/A	N/A	0	0	0	68.67	70.75	67	62	77
30/10/2023 12:36:42	Non-Rural	11-25	Unsure						Macquarie University	7	65.5	1	N/A	FFP				N/A	N/A	0	0	3	65	65.5	67	61	67
30/10/2023 12:39:19	Non-Rural	6-10	Very well						The University of Notre Dame Sydney	6.2	66.67	5	UoW	CSP, BMP				N/A	4th	0	0	0	66.67	66.75	63	70	67
30/10/2023 12:39:45	Non-Rural	26-50	Well	Deakin University	CSP	6.729	73.5	2						CSP, BMP	Yes			N/A	3rd	4	2	0	71	73.5	66	66	81
30/10/2023 12:40:29	Non-Rural	11-25	Unsure						The University of Notre Dame Fremantle	6.78	61	1	ANU, Griffith, UniMelb, UNDS, UoW	CSP, BMP				N/A	4th	0	2	0	61	59.5	59	69	55
30/10/2023 12:40:44	Rural	26-50	Unsure	The University of Queensland (DD MP)	CSP	7	62	1						CSP, BMP	Yes			Tier 2	N/A	12	2	0	62	59.75	62	71	53
30/10/2023 12:42:50	Non-Rural	26-50	Unsure	The University of Wollongong	BMP	5.5	70	1						CSP, BMP	Yes		Strong portfolio	N/A	3rd	0	0	0	68.67	70	64	68	74
30/10/2023 12:43:25	Rural	0-5	Poorly	The University of Queensland (CQ-WB RMP)	CSP	6.3	57.33	1						CSP	Yes			Tier 2	N/A	0	0	0	57.33	57.75	58	55	59
30/10/2023 12:43:41	Non-Rural	6-10	Unsure						The University of Notre Dame Fremantle	6.3	67.33	6	N/A	CSP, BMP				N/A	3rd	0	0	0	67.33	68.75	56	73	73
30/10/2023 12:46:08	Rural	6-10	Well	Deakin University	BMP	6.44	73	1						BMP	Yes			N/A	N/A	8	0	0	74	73	71	81	70
30/10/2023 12:46:09	Non-Rural	11-25	Well						The University of Notre Dame Fremantle	6.68	67	2	Griffith, MQ, UWA, UoW	CSP, BMP, FFP				N/A	3rd	0	0	0	67	66.5	65	71	65
30/10/2023 12:46:53	Rural	101-250	Well	The University of Queensland (DD MP)	CSP	6.906	79	1						CSP, BMP	Yes			Tier 2	N/A	0	0	0	79	79.25	71	86	80
30/10/2023 12:47:04	Non-Rural	11-25	Very well	Macquarie University	FFP	6.81	68.25	5						CSP, BMP, FFP	Yes			N/A	3rd	0	0	0	69	68.25	71	70	66
30/10/2023 12:49:11	Non-Rural	11-25	Well	Deakin University	CSP	6.99	69	1						CSP, BMP, FFP	Yes			N/A	4th	4	2	0	67.33	69	62	66	74
30/10/2023 12:50:38	Non-Rural	26-50	Well	Deakin University	BMP	6.917	71.25	3	The University of Notre Dame Sydney	6.833	69	1	Griffith	CSP, BMP, FFP	No			N/A	3rd	0	0	0	69	71.25	54	75	78
30/10/2023 12:52:37	Non-Rural	250+	Unsure	Deakin University	CSP	6.94	74.75	4	The University of Queensland (Greater Brisbane)	6.68	72.67	3	N/A	CSP, BMP	Yes			N/A	N/A	4	0	0	72.67	74.75	68	69	81
30/10/2023 12:52:50	Non-Rural	0-5	Very poorly						The University of Queensland (DD MP)	6.75	72.33	2	ANU, Griffith, UNDS, UWA	CSP, BMP, FFP				Tier 3	2nd	0	0	0	72.33	75.5	63	69	85
30/10/2023 12:56:45	Non-Rural	26-50	Unsure	The University of Melbourne	CSP	6.925	72	1						CSP, BMP	Unsure			N/A	2nd	0	0	0	72	73.25	71	68	77
30/10/2023 12:56:53	Non-Rural	26-50	Unsure	The University of Melbourne	CSP	6.88	73.33	1						CSP	Yes			N/A	N/A	0	0	0	73.33	73.5	64	82	74
30/10/2023 12:57:54	Non-Rural	51-100	Well	Macquarie University	FFP	6.9	64.75	1						FFP	Yes			N/A	4th	0	0	3	65.33	64.75	58	75	63
30/10/2023 12:58:52	Non-Rural	11-25	Well						The University of Wollongong	5.5	70.5	2	ANU, Deakin, Griffith, UniMelb	CSP, BMP, FFP				N/A	2nd	0	0	0	71	70.5	67	77	69
30/10/2023 12:58:57	Non-Rural	11-25	Unsure	The University of Melbourne	CSP	7	77.33	1						CSP	Unsure			N/A	N/A	0	0	0	77.33	79	70	78	84
30/10/2023 13:00:36	Rural	6-10	Unsure						The University of Notre Dame Sydney	6.896	63	1	ANU, Deakin, Griffith, UniMelb, UoW	CSP, BMP				N/A	1st	6	0	0	63	63.25	60	65	64
30/10/2023 13:01:35	Non-Rural	26-50	Very well	Deakin University	CSP	6.953	65.75	3	The University of Notre Dame Sydney	6.953	66	2	N/A	CSP, BMP	Unsure			N/A	3rd	0	0	0	66	65.75	68	65	65
30/10/2023 13:01:57	Non-Rural	250+	Well	Griffith University	CSP	6.913	72.25	1						CSP	Yes			N/A	4th	0	0	0	69.33	72.25	54	73	81
30/10/2023 13:04:08	Non-Rural	26-50	Poorly	The University of Queensland (CQ-WB RMP)	CSP	6.786	67.33	3						CSP, BMP, FFP	Yes		Preference #1 UQ Darling Downs first, got Rocky.	Tier 3	4th	2	0	0	67.33	68.5	62	68	72
30/10/2023 13:04:26	Non-Rural	26-50	Unsure	The University of Melbourne	CSP	7	73	1						CSP, BMP	Yes			N/A	N/A	0	0	0	73	72	76	74	69
30/10/2023 13:04:33	Rural	26-50	Very well	The University of Queensland (CQ-WB RMP)	BMP	5.5	55.33	1						CSP, BMP	Yes			Tier 1 (CQ-WB RMP)	3rd	6	0	5	55.33	55.5	55	55	56
30/10/2023 13:04:51	Non-Rural	11-25	Unsure	The University of Melbourne	CSP	6.96	81.67	1						CSP, BMP	Yes			N/A	N/A	0	0	0	81.67	83.75	68	87	90
30/10/2023 13:06:04	Non-Rural	26-50	Unsure	The University of Melbourne	CSP	6.98	71	1						CSP, BMP	No			N/A	4th	2	0	0	71	71.5	67	73	73
30/10/2023 13:06:27	Non-Rural	26-50	Very well						The University of Western Australia	7	66	1	UniMelb	CSP			PhD	N/A	N/A	0	0	0	67	66	62	76	63
30/10/2023 13:06:28	Non-Rural	0-5	Well	The University of Melbourne	CSP	6.8	71	1						CSP, BMP, FFP	Yes			N/A	N/A	0	0	0	71	70.5	68	76	69
30/10/2023 13:07:13	Rural	51-100	Well	The University of Melbourne	BMP	6.98	57.33	1						CSP, BMP	Unsure			Tier 3	N/A	8	0	3	57.33	57.75	56	57	59
30/10/2023 13:07:45	Non-Rural	51-100	Unsure	The University of Melbourne	CSP	6.593	76.67	1						CSP, BMP, FFP	Yes			N/A	N/A	0	0	0	76.67	76.25	73	82	75
30/10/2023 13:08:24	Non-Rural	51-100	Poorly	The University of Melbourne	CSP	6.95	73	1						CSP, BMP	Yes			N/A	N/A	0	0	0	73	72.5	77	71	71
30/10/2023 13:10:20	Non-Rural	11-25	Well	Macquarie University	FFP	6.896	65	1						CSP, BMP, FFP	Yes			N/A	3rd	2	2	0	65.67	65	66	68	63
30/10/2023 13:10:31	Non-Rural	51-100	Well	The University of Melbourne	BMP	6.865	69.67	1						BMP	Yes			N/A	N/A	0	0	0	69.67	70.75	68	67	74
30/10/2023 13:10:49	Non-Rural	6-10	Unsure	The University of Queensland (CQ-WB RMP)	CSP	6.84	68	3						CSP, BMP, FFP	Yes			Tier 3	4th	2	0	0	68	67.5	61	77	66
30/10/2023 13:11:52	Non-Rural	11-25	Unsure	Griffith University	CSP	6.697	75.5	2	The University of Wollongong	5.5	75.5	1	N/A	CSP, BMP	Yes		Moderate portfolio, Grif-GC campus	N/A	3rd	0	0	0	72.67	75.5	66	68	84
30/10/2023 13:11:28	Non-Rural	26-50	Unsure	The University of Melbourne	CSP	6.5	69.33	3						CSP, BMP	Yes			N/A	N/A	0	0	0	69.33	69.75	62	75	71
30/10/2023 13:12:22	Non-Rural	26-50	Well	The University of Queensland (CQ-WB RMP)	CSP	6.948	66.33	1						CSP, BMP, FFP	Yes		UQRMP- Bundy/Rocky	Tier 3	3rd	0	0	0	66.33	68	56	70	73
30/10/2023 13:13:03	Non-Rural	51-100	Very well	The University of Wollongong	CSP	5.5	70.25	1						CSP, BMP, FFP	Yes			N/A	4th	2	0	0	70.67	70.25	69	74	69
30/10/2023 13:14:21	Non-Rural	11-25	Unsure	The University of Queensland (Greater Brisbane)	CSP	6.95	76.67	1						CSP	Unsure			N/A	N/A	0	0	0	76.67	82.25	66	65	99
30/10/2023 13:15:12	Non-Rural	26-50	Unsure						The University of Melbourne	6.68	71.67	1	ANU, Deakin, UNDS, UQ, UoW	CSP, BMP				N/A	2nd	0	0	0	71.67	71.75	66	77	72
30/10/2023 13:15:20	Non-Rural	26-50	Well	Griffith University	BMP	7	67.25	3						CSP, BMP	Unsure			N/A	2nd	0	0	0	64.67	67.25	57	62	75
30/10/2023 13:15:56	Non-Rural	51-100	Well						The University of Melbourne	6.89	83.67	1	ANU, Deakin	CSP				N/A	N/A	0	0	0	83.67	87	76	78	97
30/10/2023 13:16:21	Non-Rural	11-25	Well	The University of Melbourne	CSP	7	71	1						CSP, BMP	Unsure			N/A	N/A	0	0	0	71	73	66	68	79
30/10/2023 13:17:49	Rural	26-50	Very well	Griffith University	BMP	6.5	64.25	1						CSP, BMP	Yes			N/A	N/A	0	0	0	60	64.25	51	52	77
30/10/2023 13:19:32	Non-Rural	26-50	Unsure						The University of Wollongong	5.5	70.5	1	ANU, Deakin, Griffith, UNDF, UNDS	CSP, BMP				N/A	4th	4	2	0	69.33	70.5	62	72	74
30/10/2023 13:19:42	Non-Rural	51-100	Well	The University of Melbourne	CSP	6.736	73.67	1						CSP, BMP	Yes		GAM, strong portfolio	N/A	3rd	0	2	0	73.67	76	67	71	83
30/10/2023 13:21:12	Non-Rural	0-5	Well						The University of Notre Dame Sydney	6.57	69.33	1	MQ	CSP				N/A	4th	0	0	3	69.33	68.25	71	72	65
30/10/2023 13:24:39	Non-Rural	51-100	Very well	The University of Queensland (CQ-WB RMP)	CSP	7	65.67	1						CSP, BMP, FFP	Yes			Tier 3	4th	4	0	0	65.67	66.5	55	73	69
30/10/2023 13:25:32	Non-Rural	51-100	Well	The University of Melbourne	CSP	6.9	81.67	1						CSP, BMP	Yes			N/A	4th	0	0	0	81.67	84	73	81	91
30/10/2023 13:29:21	Non-Rural	11-25	Well	The University of Notre Dame Sydney	CSP	6.74	70.67	1						CSP, BMP, FFP	Yes			N/A	4th	2	2	0	70.67	73.5	62	68	82
30/10/2023 13:29:58	Non-Rural	51-100	Well	Australian National University	CSP	6.89	78.25	1						CSP, BMP	Unsure			N/A	N/A	0	0	0	76	78.25	72	71	85
30/10/2023 13:30:56	Non-Rural	11-25	Unsure	Deakin University	BMP	6.927	80.75	1						CSP, BMP	No			N/A	3rd	0	0	0	77.33	80.75	66	75	91
30/10/2023 13:32:52	Non-Rural	26-50	Unsure	Macquarie University	FFP	6.944	72	6	The University of Melbourne	7	69.33	2	Deakin, Griffith, UQ	CSP	Yes			N/A	1st	0	0	0	69.33	72	57	71	80
30/10/2023 13:33:24	Non-Rural	26-50	Well	Deakin University	BMP	6.22	71.75	4	The University of Wollongong	5.5	71.75	2	UniMelb	CSP, BMP	Yes			N/A	3rd	0	0	0	69.33	71.75	63	66	79
30/10/2023 13:34:07	Non-Rural	11-25	Unsure	The University of Notre Dame Sydney	CSP	6.91	65.33	1						CSP, BMP, FFP	Yes			N/A	4th	0	0	0	65.33	63.25	58	81	57
30/10/2023 13:34:51	Non-Rural	26-50	Well						Australian National University	6.29	82.25	3	Griffith, MQ, UNDS	CSP, BMP, FFP			Offered a guaranteed full fee med place at Uni Melb	N/A	N/A	0	0	0	77.67	82.25	66	71	96
30/10/2023 13:34:51	Non-Rural	0-5	Unsure	The University of Melbourne	CSP	6.85	73	1						CSP, BMP	Yes			N/A	N/A	0	0	0	73	75.5	70	66	83
30/10/2023 13:35:16	Non-Rural	11-25	Well	The University of Melbourne	CSP	6.875	73.33	1						CSP, BMP	Yes			N/A	N/A	2	0	0	73.33	75	72	68	80
30/10/2023 13:35:34	Rural	0-5	Well	The University of Notre Dame Sydney	CSP	6.5	72.67	1						CSP, BMP	No			N/A	3rd	0	0	0	72.67	73.5	73	69	76
30/10/2023 13:36:35	Non-Rural	51-100	Unsure	The University of Melbourne	CSP	6.78	67	1						CSP, BMP, FFP	Yes		GAM	N/A	4th	6	0	0	67	67.5	59	73	69
30/10/2023 13:39:15	Rural	26-50	Unsure	Deakin University	BMP	6.96	62.5	2	The University of Melbourne	6.96	60.33	1	N/A	CSP, BMP	Yes			N/A	N/A	10	0	0	60.33	62.5	53	59	69
30/10/2023 13:40:14	Non-Rural	6-10	Very well	The University of Melbourne	BMP	6.851	71	3	Griffith University	6.844	69.5	1	UQ	CSP, BMP	No			N/A	N/A	0	0	0	71	69.5	65	83	65
30/10/2023 13:41:20	Non-Rural	11-25	Well						The University of Wollongong	5.5	73.5	3	ANU, UNDF, UWA	CSP, BMP			Above average portfolio	N/A	4th	0	0	0	72.33	73.5	63	77	77
30/10/2023 13:42:49	Non-Rural	26-50	Well	The University of Wollongong	CSP	5.5	62.25	2						CSP, BMP	Yes		Strong diverse portfolio (IMO)	N/A	4th	4	0	0	63	62.25	60	69	60
30/10/2023 13:42:55	Non-Rural	51-100	Well	Australian National University	CSP	6.87	73	1						CSP, BMP	No			N/A	4th	0	2	0	72.67	73	65	79	74
30/10/2023 13:48:15	Non-Rural	0-5	Poorly	The University of Melbourne	CSP	6.76	74.67	1						CSP, BMP	Yes			N/A	1st	0	0	0	74.67	75.25	77	70	77
30/10/2023 13:50:18	Non-Rural	11-25	Well	Deakin University	CSP	6.57	63.5	1						CSP, BMP	Yes			N/A	N/A	10	0	0	63	63.5	63	61	65
30/10/2023 13:50:53	Rural	6-10	Unsure	The University of Melbourne	CSP	6.85	70.67	1						CSP, BMP	Unsure			N/A	2nd	0	0	0	70.67	71.25	72	67	73
30/10/2023 13:57:21	Non-Rural	6-10	Well	The University of Melbourne	CSP	6.73	77	1						CSP, BMP	Yes			N/A	4th	0	2	0	77	76	68	90	73
30/10/2023 13:59:15	Non-Rural	101-250	Poorly	The University of Notre Dame Fremantle	CSP	6.979	66	2						CSP, BMP	Yes		No UND Bonuses	N/A	4th	0	0	0	66	66.5	58	72	68
30/10/2023 13:59:25	Rural	11-25	Well	Griffith University	BMP	6.715	61.25	1						CSP, BMP	Unsure			N/A	N/A	0	0	0	60.67	61.25	59	60	63
30/10/2023 13:59:25	Non-Rural	26-50	Well	The University of Notre Dame Fremantle	CSP	6.56	68.33	1						CSP, BMP	Yes		WA residency scheme	N/A	4th	0	0	0	68.33	68	69	69	67
30/10/2023 14:00:02	Non-Rural	0-5	Unsure	Deakin University	CSP	7	65.5	1						CSP, BMP	Yes			N/A	4th	10	0	0	66.67	65.5	65	73	62
30/10/2023 14:00:22	Non-Rural	51-100	Well	The University of Wollongong	CSP	5.5	65.75	3						CSP, BMP	Yes		Strong portfolio	N/A	3rd	0	0	0	65.67	65.75	60	71	66
30/10/2023 14:00:37	Non-Rural	11-25	Very well						Deakin University	6.708	66.75	1	ANU, Griffith, UniMelb, UQ, UWA	CSP, BMP				N/A	N/A	8	0	0	66	66.75	62	67	69
30/10/2023 14:02:16	Non-Rural	0-5	Unsure						The University of Notre Dame Fremantle	6.85	65	1	UoW	CSP, BMP			WA Residency	N/A	4th	0	0	0	65	62.5	59	81	55
30/10/2023 14:04:01	Non-Rural	51-100	Poorly	The University of Queensland (CQ-WB RMP)	CSP	7	67.33	2						CSP, BMP	Yes		UQRMP - Bundy	Tier 3	4th	0	2	0	67.33	65.5	59	83	60
