Timestamp	Rurality	S1 Score	S2 Score	S3 Score	UW GAMSAT	W GAMSAT	UQ MP/RMP Tier	CASPer Quartile	Deakin Bonus	ANU Bonus	MQ Bonus (GPA)	Notes	Outlier	Interview?	Interviewing Uni	GPA	GAMSAT	1st Pref Uni	GPA	GAMSAT	2nd Pref Uni	GPA	GAMSAT	3rd Pref Uni	GPA	GAMSAT	4th Pref Uni	GPA	GAMSAT	5th Pref Uni	GPA	GAMSAT	6th Pref Uni	GPA	GAMSAT
GAM application, above average portfolio for UoW, 4% Deakin bonus for financial disadvantage and work experience, Honours bonus @ ANU
Yes	Deakin University	6.729	73.5	The University of Melbourne	6.688	71															
30/08/2023 11:21:48	Non-Rural	66	75	73	71.33	71.75	N/A	N/A	8	0	0			Yes	Deakin University	6.967	71.75																		
30/08/2023 11:22:37	Non-Rural	61	69	87	72.33	76	N/A	N/A	2	0	0			Yes	Australian National University	6.505	76																		
30/08/2023 11:22:38	Non-Rural	77	71	71	73	72.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.95	73																		
30/08/2023 11:22:38	Non-Rural	54	69	55	59.33	58.25	N/A	1st	0	0	0			No				Macquarie University	6.729	58.25	The University of Notre Dame Fremantle	6.729	59.33	The University of Notre Dame Sydney	6.729	59.33	Australian National University	6.729	58.25	Deakin University	6.635	58.25	The University of Western Australia	6.625	58.25
30/08/2023 11:23:14	Rural	56	60	77	64.33	67.5	Tier 3	3rd	6	2	0			Yes	Australian National University	6.917	67.5																		
30/08/2023 11:24:10	Non-Rural	67	72	74	71	71.75	N/A	2nd	0	0	0			No				The University of Notre Dame Sydney	6.37	71	The University of Wollongong	5.5	71.75	Australian National University	6.37	71.75	The University of Melbourne	6.394	71	The University of Queensland (Greater Brisbane)	6.49	71	Griffith University	6.41	71.75
30/08/2023 11:24:26	Rural	63	64	68	65	65.75	N/A	4th	10	0	0			Yes	Deakin University	6.313	65.75	The University of Melbourne	5	65															
30/08/2023 11:25:13	Non-Rural	65	77	74	72	72.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.963	72																		
30/08/2023 11:25:33	Rural	56	62	63	60.33	61	N/A	2nd	10	0	0			Yes	Griffith University	6.895	61																		
30/08/2023 11:26:12	Non-Rural	69	68	77	71.33	72.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	7	71.33																		
30/08/2023 11:26:29	Non-Rural	69	80	73	74	73.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.963	74																		
30/08/2023 11:26:53	Non-Rural	72	68	70	70	70	N/A	N/A	0	0	0			Yes	Griffith University	6.742	70																		
30/08/2023 11:27:49	Non-Rural	52	62	58	57.33	57.5	N/A	4th	4	0	0	
(marked as an outlier as outside of LL expected for interview and significantly skews data, but that doesn't mean it illegitimate given GAM could be a factor -Luke)
Yes- I	Yes	The University of Melbourne	6.98	57.33																		
30/08/2023 11:28:07	Non-Rural	73	81	91	81.67	84	N/A	4th	0	0	0			Yes	The University of Melbourne	6.9	81.67																		
30/08/2023 11:29:03	Non-Rural	60	60	100	73.33	80	N/A	N/A	2	0	0			Yes	Deakin University	6.268	80	The University of Melbourne	6.346	73.33															
30/08/2023 11:30:11	Non-Rural	64	69	62	65	64.25	N/A	3rd	0	0	0			No				Australian National University	6.7	64.25															
30/08/2023 11:30:50	Non-Rural	69	75	70	71.33	71	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.919	71.33																		
30/08/2023 11:31:10	Rural	72	82	84	79.33	80.5	N/A	N/A	0	0	0			Yes	Griffith University	5.375	80.5																		
30/08/2023 11:31:42	Non-Rural	63	69	84	72	75	N/A	4th	0	0	0			Yes	The University of Melbourne	6.818	72																		
30/08/2023 11:32:58	Non-Rural	68	63	63	64.67	64.25	N/A	N/A	6	0	0	GAM		No				The University of Melbourne	6.76	64.67	Deakin University	6.75	64.25	Griffith University	6.82	64.25									
30/08/2023 11:34:04	Non-Rural	76	68	59	67.67	65.5	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.913	67.67	The University of Melbourne	6.943	67.67	Griffith University	6.89	65.5												
30/08/2023 11:34:22	Non-Rural	66	68	84	72.67	75.5	N/A	3rd	0	0	0			Yes	The University of Wollongong	5.5	75.5																		
30/08/2023 11:35:17	Non-Rural	71	78	51	66.67	62.75	N/A	3rd	2	2	0			No				The University of Notre Dame Sydney	6.516	66.67	Australian National University	6.516	62.75	The University of Wollongong	5.5	62.75	Deakin University	6.516	62.75	The University of Melbourne	6.516	66.67	The University of Notre Dame Fremantle	6.516	66.67
30/08/2023 11:35:24	Non-Rural	69	63	75	69	70.5	N/A	N/A	8	0	0			Yes	Deakin University	6.427	70.5	The University of Melbourne	6.413	69															
30/08/2023 11:36:13	Non-Rural	61	75	59	65	63.5	Tier 3	4th	2	0	0			Yes	The University of Notre Dame Sydney	6.788	65																		
30/08/2023 11:36:19	Non-Rural	61	73	77	70.33	72	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.838	70.33																		
30/08/2023 11:38:04	Non-Rural	76	64	91	77	80.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.988	77																		
30/08/2023 11:40:25	Non-Rural	71	79	64	71.33	69.5	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.585	71.33																		
30/08/2023 11:41:28	Non-Rural	68	76	69	71	70.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.86	71																		
30/08/2023 11:43:07	Non-Rural	69	77	62	69.33	67.5	N/A	4th	0	0	0	Strong UOW Portfolio, WA resident		Yes	The University of Notre Dame Fremantle	6.668	69.33																		
30/08/2023 11:43:10	Non-Rural	57	75	73	68.33	69.5	N/A	N/A	8	0	0			Yes	Deakin University	6.458	69.5																		
30/08/2023 11:43:36	Non-Rural	68	62	70	66.67	67.5	N/A	2nd	2	0	0			No				Deakin University	6.917	67.5	The University of Notre Dame Fremantle	6.917	66.67	The University of Notre Dame Sydney	6.917	66.67									
30/08/2023 11:43:38	Non-Rural	74	70	64	69.33	68	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.8	69.33	The University of Melbourne	6.7	69.33	Australian National University	6.8	68												
30/08/2023 11:43:46	Non-Rural	66	76	55	65.67	63	N/A	3rd	0	0	0			Yes	The University of Notre Dame Fremantle	6.588	65.67	The University of Notre Dame Sydney	6.588	65.67															
30/08/2023 11:44:18	Non-Rural	63	61	65	63	63.5	N/A	N/A	10	0	0			Yes	Deakin University	6.57	63.5																		
30/08/2023 11:44:30	Non-Rural	78	68	65	70.33	69	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.896	70.33																		
30/08/2023 11:44:30	Non-Rural	62	75	71	69.33	69.75	Tier 3	N/A	0	0	0		Yes- P2	Yes	The University of Melbourne	6.87	69.33	Australian National University	6.87	69.75	The University of Queensland (DD MP)	6.87	69.33												
30/08/2023 11:44:35	Non-Rural	59	77	61	65.67	64.5	N/A	4th	2	0	0	GAM		Yes	The University of Notre Dame Sydney	6.75	65.67	The University of Melbourne	6.725	65.67	Deakin University	6.75	64.5	Griffith University	6.729	64.5	The University of Western Australia	6.729	64.5	The University of Queensland (Greater Brisbane)	6.719	65.67			
30/08/2023 11:46:12	Non-Rural	68	81	65	71.33	69.75	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.823	71.33																		
30/08/2023 11:46:22	Non-Rural	59	61	86	68.67	73	N/A	4th	2	0	0			Yes	Deakin University	6.687	73																		
30/08/2023 11:46:41	Non-Rural	61	64	72	65.67	67.25	N/A	4th	0	0	0			Yes	Griffith University	7	67.25	The University of Melbourne	7	65.67															
30/08/2023 11:46:43	Non-Rural	65	74	79	72.67	74.25	Tier 3	4th	0	2	0			Yes	Griffith University	6.813	74.25																		
30/08/2023 11:47:20	Non-Rural	62	64	98	74.67	80.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.97	74.67																		
30/08/2023 11:47:33	Non-Rural	58	73	55	62	60.25	N/A	3rd	0	0	0	above average portfolio		No				The University of Wollongong	5.5	60.25	The University of Notre Dame Sydney	6.121	62	Australian National University	6.121	60.25	Griffith University	5.86	60.25	Deakin University	6.034	60.25	The University of Melbourne	5.89	62
30/08/2023 11:48:16	Non-Rural	67	77	57	67	64.5	N/A	3rd	0	0	0			Yes	The University of Notre Dame Sydney	6.824	67	The University of Queensland (Greater Brisbane)	6.855	67	Griffith University	6.839	64.5												
30/08/2023 11:49:48	Non-Rural	63	76	62	67	65.75	N/A	4th	6	2	0			Yes	The University of Notre Dame Sydney	6.667	67	Deakin University	6.6	65.75															
30/08/2023 11:50:22	Non-Rural	60	64	72	65.33	67	N/A	3rd	0	0	0	UNDF rez		Yes	Macquarie University	6.88	67																		
30/08/2023 11:51:21	Non-Rural	73	67	90	76.67	80	N/A	N/A	0	0	0			Yes	Griffith University	6.443	80	The University of Melbourne	6.357	76.67															
30/08/2023 11:52:00	Non-Rural	75	66	75	72	72.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.875	72																		
30/08/2023 11:52:42	Non-Rural	74	83	80	79	79.25	Tier 3	4th	4	0	0			Yes	The University of Notre Dame Sydney	5.476	79	Deakin University	5.539	79.25															
30/08/2023 11:53:24	Non-Rural	65	69	70	68	68.5	N/A	2nd	0	0	0	Average portfolio		Yes	The University of Wollongong	5.5	68.5																		
30/08/2023 11:53:57	Rural	66	65	64	65	64.75	N/A	3rd	2	0	0			Yes	Griffith University	6.9	64.75																		
30/08/2023 11:54:27	Non-Rural	64	68	74	68.67	70	Tier 3	4th	0	0	0	WA resident		Yes	The University of Notre Dame Fremantle	6.8	68.67																		
30/08/2023 11:58:26	Non-Rural	67	85	89	80.33	82.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.638	80.33																		
30/08/2023 11:58:40	Non-Rural	68	72	72	70.67	71	N/A	4th	0	0	0			Yes	The University of Notre Dame Fremantle	6.76	70.67																		
30/08/2023 12:02:16	Non-Rural	65	67	75	69	70.5	N/A	3rd	0	2	0	GAM		Yes	The University of Melbourne	6.969	69																		
30/08/2023 12:03:45	Rural	54	60	51	55	54	Tier 2	N/A	0	0	3	Applied to/indicated for all relevant Rural Medical Programs.		Yes	The University of Melbourne	6.756	55																		
30/08/2023 12:03:56	Non-Rural	68	77	64	69.67	68.25	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.688	69.67	Griffith University	6.74	68.25	The University of Queensland (DD MP)	6.25	69.67	The University of Melbourne	6.638	69.67									
30/08/2023 12:04:26	Non-Rural	59	67	68	64.67	65.5	N/A	3rd	0	0	0			No				The University of Melbourne	6.583	64.67	The University of Queensland (Greater Brisbane)	6.668	64.67	Griffith University	6.722	65.5	Deakin University	6.639	65.5	The University of Notre Dame Sydney	6.75	64.67	The University of Notre Dame Fremantle	6.75	64.67
30/08/2023 12:04:30	Non-Rural	55	68	85	69.33	73.25	N/A	4th	0	0	0			Yes	The University of Melbourne	6.906	69.33																		
30/08/2023 12:06:16	Rural	69	63	50	60.67	58	N/A	2nd	4	0	0			Yes	The University of Notre Dame Sydney	6.77	60.67																		
30/08/2023 12:06:36	Non-Rural	67	71	81	73	75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.888	73																		
30/08/2023 12:07:10	Non-Rural	63	63	82	69.33	72.5	N/A	1st	2	2	0			Yes	Deakin University	6.917	72.5																		
30/08/2023 12:07:56	Non-Rural	63	85	70	72.67	72	N/A	3rd	0	2	0	average UoW portfolio, work experience in public health		Yes	The University of Notre Dame Sydney	6.917	72.67																		
30/08/2023 12:08:07	Non-Rural	60	64	77	67	69.5	N/A	2nd	0	2	0	WA resident		Yes	Macquarie University	6.64	69.5	The University of Western Australia	6.52	69.5	Australian National University	6.81	69.5	The University of Melbourne	6.677	67	The University of Notre Dame Fremantle	6.677	67	Griffith University	6.52	69.5			
30/08/2023 12:09:13	Non-Rural	67	76	76	73	73.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.651	73																		
30/08/2023 12:09:36	Non-Rural	51	62	74	62.33	65.25	N/A	3rd	0	0	0	Average portfolio		No				The University of Melbourne	7	62.33	Deakin University	7	65.25	Griffith University	7	65.25	The University of Notre Dame Sydney	7	62.33	The University of Wollongong	5.5	65.25	The University of Notre Dame Fremantle	7	62.33
30/08/2023 12:11:00	Non-Rural	64	74	65	67.67	67	N/A	4th	2	0	0			Yes	The University of Notre Dame Sydney	6.844	67.67	Deakin University	6.844	67	The University of Melbourne	6.75	67.67	Australian National University	6.844	67									
30/08/2023 12:11:15	Non-Rural	62	68	82	70.67	73.5	N/A	4th	2	2	0			Yes	The University of Notre Dame Sydney	6.74	70.67																		
30/08/2023 12:13:21	Rural	57	56	74	62.33	65.25	N/A	1st	10	0	0	Casper score did not meet UoW hurdle		Yes	Deakin University	6.422	65.25																		
30/08/2023 12:13:36	Non-Rural	67	64	95	75.33	80.25	N/A	N/A	2	2	0	GAM		Yes	The University of Melbourne	6.708	75.33																		
30/08/2023 12:13:39	Non-Rural	62	70	82	71.33	74	N/A	4th	2	0	0			Yes	The University of Notre Dame Sydney	6.87	71.33																		
30/08/2023 12:14:19	Non-Rural	61	66	65	64	64.25	N/A	N/A	8	0	0	GAM		No				Deakin University	6.26	64.25	The University of Melbourne	6.263	64	Australian National University	6.26	64.25									
30/08/2023 12:15:02	Rural	64	69	55	62.67	60.75	N/A	3rd	6	0	0			Yes	The University of Notre Dame Sydney	5.76	62.67																		
30/08/2023 12:15:40	Non-Rural	55	86	70	70.33	70.25	N/A	N/A	2	2	0	GAM		Yes	The University of Melbourne	6.875	70.33																		
30/08/2023 12:17:22	Non-Rural	61	67	80	69.33	72	N/A	4th	2	2	0	above average portfolio		Yes	Deakin University	6.809	72																		
30/08/2023 12:18:37	Non-Rural	63	64	63	63.33	63.25	N/A	2nd	2	0	0			No				The University of Melbourne	6.688	63.33	The University of Melbourne	6.688	63.33												
30/08/2023 12:20:27	Non-Rural	71	76	63	70	68.25	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.938	70																		
30/08/2023 12:21:13	Non-Rural	59	68	71	66	67.25	N/A	N/A	4	0	0			Yes	Deakin University	6.906	67.25																		
30/08/2023 12:24:07	Non-Rural	54	71	60	61.67	61.25	N/A	3rd	2	0	0			No				The University of Queensland (Greater Brisbane)	7	61.67	The University of Notre Dame Fremantle	6.6	61.67	Griffith University	6.4	61.25									
30/08/2023 12:25:01	Non-Rural	62	66	66	64.67	65	N/A	N/A	0	0	0		Yes- I	Yes	Australian National University	6.6	65																		
30/08/2023 12:25:45	Non-Rural	62	69	65	65.33	65.25	N/A	4th	0	0	0	WA resident		Yes	The University of Notre Dame Fremantle	7	65.33																		
30/08/2023 12:26:07	Rural	50	50	77	59	63.5	N/A	N/A	8	0	0			Yes	Griffith University	6.5	63.5																		
30/08/2023 12:29:21	Non-Rural	68	67	74	69.67	70.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.865	69.67																		
30/08/2023 12:30:17	Non-Rural	68	76	75	73	73.5	N/A	4th	2	2	0			Yes	The University of Melbourne	6.667	73																		
30/08/2023 12:31:31	Rural	50	65	67	60.67	62.25	Tier 2	N/A	10	0	0			Yes	Deakin University	6.6	62.25																		
30/08/2023 12:34:24	Non-Rural	73	63	76	70.67	72	N/A	2nd	0	0	0	GAM		Yes	The University of Melbourne	6.75	70.67																		
30/08/2023 12:34:24	Non-Rural	65	77	91	77.67	81	N/A	N/A	2	0	0			Yes	The University of Melbourne	7	77.67																		
30/08/2023 12:36:04	Non-Rural	63	84	70	72.33	71.75	N/A	4th	2	0	0			Yes	The University of Melbourne	6.84	72.33																		
30/08/2023 12:36:11	Non-Rural	63	69	84	72	75	N/A	N/A	6	0	0	-		Yes	Deakin University	6.67	75																		
30/08/2023 12:37:04	Non-Rural	62	67	70	66.33	67.25	N/A	4th	2	0	0			Yes	The University of Notre Dame Sydney	6.99	66.33																		
30/08/2023 12:37:58	Rural	60	65	64	63	63.25	N/A	1st	10	0	0			Yes	The University of Notre Dame Sydney	6.896	63																		
30/08/2023 12:40:08	Non-Rural	70	78	76	74.67	75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.53	74.67																		
30/08/2023 12:40:25	Non-Rural	71	72	67	70	69.25	N/A	3rd	0	0	0			Yes	The University of Wollongong	5.5	69.25	Macquarie University	6.5	69.25	The University of Notre Dame Sydney	6.5	70												
30/08/2023 12:41:04	Non-Rural	65	70	62	65.67	64.75	N/A	4th	2	0	0			Yes	The University of Notre Dame Sydney	6.49	65.67	The University of Melbourne	6.513	65.67	Deakin University	6.49	64.75												
30/08/2023 12:41:23	Rural	55	69	54	59.33	58	N/A	4th	8	0	0			Yes	The University of Melbourne	6.6	59.33																		
30/08/2023 12:42:02	Non-Rural	69	82	66	72.33	70.75	Tier 3	1st	0	0	0			Yes	The University of Notre Dame Fremantle	6.823	72.33	The University of Western Australia	6.354	70.75															
30/08/2023 12:42:59	Non-Rural	53	67	94	71.33	77	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.15	71.33																		
30/08/2023 12:43:41	Non-Rural	62	79	77	72.67	73.75	N/A	4th	0	2	0			Yes	The University of Notre Dame Sydney	6.917	72.67																		
30/08/2023 12:44:23	Rural	64	76	73	71	71.5	N/A	4th	6	0	0			Yes	The University of Melbourne	7	71																		
30/08/2023 12:45:26	Non-Rural	61	66	86	71	74.75	N/A	N/A	0	0	0	No		Yes	The University of Melbourne	7	71																		
30/08/2023 12:46:26	Non-Rural	61	65	59	61.67	61	N/A	N/A	0	0	0			No				The University of Melbourne	6.5	61.67															
30/08/2023 12:46:54	Non-Rural	66	73	75	71.33	72.25	N/A	3rd	2	0	0			Yes	The University of Notre Dame Sydney	6.5	71.33																		
30/08/2023 12:48:14	Non-Rural	66	67	100	77.67	83.25	N/A	N/A	0	0	0			Yes	The University of Melbourne	7	77.67																		
30/08/2023 12:49:04	Non-Rural	64	69	57	63.33	61.75	N/A	4th	0	2	0			Yes	The University of Notre Dame Sydney	6.841	63.33																		
30/08/2023 12:49:21	Non-Rural	69	70	68	69	68.75	N/A	4th	6	2	0			Yes	The University of Notre Dame Fremantle	6.463	69	Deakin University	6.427	68.75	The University of Melbourne	6.35	69												
30/08/2023 12:50:26	Non-Rural	56	56	75	62.33	65.5	N/A	1st	6	0	0			Yes	Deakin University	6.71	65.5																		
30/08/2023 12:51:57	Non-Rural	72	69	74	71.67	72.25	N/A	3rd	0	4	0			Yes	Griffith University	6.938	72.25																		
30/08/2023 12:52:50	Non-Rural	70	67	97	78	82.75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.88	78																		
30/08/2023 12:52:55	Non-Rural	79	71	67	72.33	71	N/A	N/A	4	0	0			Yes	Griffith University	6.75	71																		
30/08/2023 12:53:34	Non-Rural	62	68	71	67	68	N/A	1st	0	0	0			Yes	Macquarie University	6.787	68	Australian National University	6.787	68															
30/08/2023 12:54:26	Non-Rural	61	79	64	68	67	N/A	4th	4	0	0	Below average portfolio, WA residency		Yes	The University of Wollongong	5.5	67																		
30/08/2023 12:57:28	Non-Rural	58	65	74	65.67	67.75	N/A	N/A	4	0	0			Yes	Deakin University	6.68	67.75																		
30/08/2023 12:58:19	Non-Rural	55	72	69	65.33	66.25	N/A	4th	0	0	0	
have 5+ years experience as volunteer surf lifesaver, part time work since i was 14, professional football career, fringe of being rural but very average gamsat
No				The University of Melbourne	6.2	65.33	The University of Wollongong	5.5	66.25	The University of Notre Dame Fremantle	6.3	65.33	Deakin University	6.3	66.25	Griffith University	6.3	66.25	The University of Notre Dame Sydney	6.3	65.33
30/08/2023 12:59:14	Non-Rural	64	68	80	70.67	73	N/A	N/A	0	0	0			No				The University of Melbourne	5.955	70.67	Deakin University	5.996	73												
30/08/2023 13:04:53	Non-Rural	56	62	78	65.33	68.5	Tier 3	N/A	0	4	0			Yes	Griffith University	7	68.5																		
30/08/2023 13:07:13	Rural	78	83	72	77.67	76.25	N/A	N/A	0	0	0	GAM, Rural Healthcare Experience		Yes	The University of Melbourne	6.6	77.67																		
30/08/2023 13:10:36	Rural	67	74	57	66	63.75	N/A	N/A	10	0	3	Deakin RTS applicant Tier 1		Yes	Deakin University	6.1	63.75																		
30/08/2023 13:11:27	Non-Rural	70	74	71	71.67	71.5	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.76	71.67																		
30/08/2023 13:11:44	Non-Rural	65	73	95	77.67	82	N/A	N/A	0	0	0			Yes	The University of Melbourne	7	77.67																		
30/08/2023 13:14:37	Rural	57	57	56	56.67	56.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.98	56.67																		
30/08/2023 13:17:44	Rural	61	65	62	62.67	62.5	N/A	4th	0	0	0			Yes	Griffith University	6.91	62.5																		
30/08/2023 13:18:16	Non-Rural	63	62	78	67.67	70.25	N/A	3rd	0	0	0			Yes	Griffith University	7	70.25																		
30/08/2023 13:19:03	Non-Rural	64	82	77	74.33	75	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.575	74.33																		
30/08/2023 13:20:51	Non-Rural	50	73	66	63	63.75	N/A	4th	0	0	0	
(marked as an outlier as outside of LL expected for interview and significantly skews data, but that doesn't mean it illegitimate given CASPer being a factor -Luke)
Yes- I	Yes	The University of Notre Dame Fremantle	6.431	63	The University of Wollongong	5.5	63.75															
30/08/2023 13:23:03	Non-Rural	71	75	76	74	74.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.97	74																		
30/08/2023 13:24:10	Rural	65	70	65	66.67	66.25	N/A	N/A	16	0	0	RTS applicant - Tier 1		Yes	Deakin University	6.98	66.25																		
30/08/2023 13:35:19	Non-Rural	59	63	68	63.33	64.5	N/A	3rd	0	0	0	High portfolio strength		Yes	Macquarie University	6.9	64.5	The University of Notre Dame Sydney	6.9	63.33															
30/08/2023 13:39:06	Non-Rural	60	62	68	63.33	64.5	N/A	3rd	0	0	0			Yes	The University of Wollongong	5.5	64.5	The University of Notre Dame Fremantle	6.7	63.33	The University of Western Australia	6.7	64.5												
30/08/2023 13:40:02	Non-Rural	64	69	78	70.33	72.25	N/A	2nd	0	4	0			Yes	The University of Melbourne	6.975	70.33																		
30/08/2023 13:42:06	Non-Rural	62	66	74	67.33	69	N/A	N/A	0	0	0			Yes	The University of Melbourne	7	67.33																		
30/08/2023 13:42:21	Non-Rural	66	68	63	65.67	65	N/A	4th	2	2	0	Strong Portfolio		Yes	Macquarie University	6.896	65																		
30/08/2023 13:42:22	Non-Rural	54	65	70	63	64.75	N/A	4th	0	0	0			Yes	The University of Notre Dame Sydney	6.907	63	Griffith University	6.914	64.75															
30/08/2023 13:42:50	Non-Rural	53	67	58	59.33	59	N/A	4th	0	0	0			No				The University of Notre Dame Sydney	7	59.33															
30/08/2023 13:45:26	Non-Rural	60	70	66	65.33	65.5	N/A	4th	0	0	0	WA resident		Yes	The University of Notre Dame Fremantle	6.95	65.33																		
30/08/2023 13:46:08	Non-Rural	71	67	87	75	78	N/A	N/A	2	0	0	GAM		Yes	Australian National University	6.835	78																		
30/08/2023 13:48:00	Non-Rural	57	78	62	65.67	64.75	N/A	3rd	0	0	0			Yes	The University of Notre Dame Fremantle	6.951	65.67	The University of Melbourne	6.961	65.67	Deakin University	6.951	64.75	The University of Notre Dame Sydney	6.951	65.67									
30/08/2023 13:50:48	Non-Rural	61	72	65	66	65.75	N/A	4th	0	0	0			Yes	Macquarie University	6.889	65.75																		
30/08/2023 13:50:52	Non-Rural	53	74	91	72.67	77.25	N/A	N/A	4	0	0			Yes	Deakin University	6.99	77.25																		
30/08/2023 13:52:08	Non-Rural	73	82	75	76.67	76.25	N/A	N/A	0	0	0	NA		Yes	The University of Melbourne	6.594	76.67																		
30/08/2023 13:53:50	Non-Rural	71	67	71	69.67	70	N/A	3rd	0	0	3			Yes	The University of Notre Dame Sydney	6.906	69.67																		
30/08/2023 13:53:58	Non-Rural	60	66	68	64.67	65.5	N/A	N/A	4	0	0			No				Deakin University	6.9	65.5	The University of Melbourne	6.9	64.67												
30/08/2023 13:54:53	Non-Rural	62	66	74	67.33	69	N/A	4th	4	2	0			Yes	Deakin University	6.99	69																		
30/08/2023 13:59:38	Non-Rural	77	81	62	73.33	70.5	N/A	4th	0	2	0	No		Yes	The University of Melbourne	6.9	73.33																		
30/08/2023 14:01:16	Non-Rural	54	63	100	72.33	79.25	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.7	72.33																		
30/08/2023 14:01:44	Non-Rural	65	67	73	68.33	69.5	N/A	3rd	2	0	0			Yes	The University of Notre Dame Sydney	6.83	68.33																		
30/08/2023 14:02:03	Non-Rural	62	58	91	70.33	75.5	N/A	N/A	0	0	0			Yes	The University of Melbourne	6.9	70.33																		
30/08/2023 14:03:31	Non-Rural	75	77	72	74.67	74	N/A	N/A	0	2	0			Yes	The University of Melbourne	6.875	74.67																		
30/08/2023 14:07:51	Non-Rural	73	68	71	70.67	70.75	N/A	4th	6	0	0			Yes	The University of Melbourne	6.778	70.67																		
30/08/2023 14:09:04	Non-Rural	67	78	93	79.33	82.75	N/A	3rd	0	2	0			Yes	The University of Western Australia	6.688	82.75																		
