Timestamp	Rurality	S1	S2	S3	UW GAMSAT	W GAMSAT	Outlier	Interviewing Uni	GPA	GAMSAT	1st Preference Uni	GPA	GAMSAT	2nd Preference Uni	GPA	GAMSAT	3rd Preference Uni	GPA	GAMSAT	4th Preference Uni	GPA	GAMSAT	5th Preference Uni	GPA	GAMSAT	6th Preference Uni	GPA	GAMSAT	CASPer Quartile	ANU Bonuses	Deakin Bonus	MQ Bonus	Deakin RTS Tier	Unimelb GAM	UNDF Bonuses	UNDS Bonuses	UQ MP/RMP Tier + Location	UoW Bonuses	Notes
30/08/2024 11:28:53	Non-Rural	65	59	73	65.67	67.5					The University of Melbourne	6.538	65.67	Griffith University	6.567	67.5	The University of Queensland (RMP/DDMP)	6.525	65.67	The University of Wollongong	6.582	67.5	The University of Notre Dame Sydney	6.582	65.67	The University of Notre Dame Fremantle	6.582	65.67	3rd	0	0	0		No	None	None	Tier 3	Toowoomba	0	
30/08/2024 11:30:14	Non-Rural	57	68	68	64.33	65.25		Macquarie University	7	65.25	The University of Notre Dame Sydney	7	64.33																3rd	0	0	0				None			0	
30/08/2024 11:30:18	Non-Rural	56	63	63	60.67	61.25		The University of Notre Dame Fremantle	6.948	60.67	The University of Wollongong	6.948	61.25																4th	0	0	0			None				1	
30/08/2024 11:30:20	Non-Rural	61	77	64	67.33	66.5		The University of Notre Dame Sydney	6.677	67.33																			4th	0	0	0				None			0	
30/08/2024 11:30:45	Non-Rural	68	68	70	68.67	69		Macquarie University	6.67	69	The University of Wollongong	6.67	69	The University of Notre Dame Sydney	6.67	68.67													3rd	0	0	0				None			2	
30/08/2024 11:30:46	Non-Rural	71	78	73	74	73.75		The University of Notre Dame Sydney	6.91	74																			4th	0	0	0				None			0	
30/08/2024 11:30:54	Non-Rural	65	69	68	67.33	67.5		The University of Queensland (RMP/DDMP)	7	67.33																			4th	0	0	0					Tier 3	Bundaberg	0	
30/08/2024 11:30:54	Non-Rural	58	72	66	65.33	65.5		Griffith University	6.927	65.5																			N/A	0	0	0							0	
30/08/2024 11:30:56	Non-Rural	69	63	75	69	70.5		Deakin University	6.573	70.5	The University of Melbourne	6.413	69																N/A	0	8	0	Did not apply	No					0	
30/08/2024 11:31:01	Rural	57	71	60	62.67	62		Griffith University	5.361	62																			N/A	0	0	0							0	
30/08/2024 11:31:10	Non-Rural	63	68	65	65.33	65.25		The University of Notre Dame Fremantle	6.56	65.33	The University of Notre Dame Sydney	6.56	65.33	The University of Melbourne	6.5	65.33	The University of Wollongong	6.5	65.25	Deakin University	6.5	65.25							4th	0	0	0	Did not apply	No	None	None			0	
30/08/2024 11:31:38	Non-Rural	62	63	62	62.33	62.25					The University of Wollongong	6.49	62.25	The University of Queensland (RMP/DDMP)	7	62.33	The University of Melbourne	6.68	62.33	Griffith University	6.708	62.25	Deakin University	6.781	62.25	Macquarie University	6.594	62.25	1st	0	2	0	Did not apply	Yes			Tier 3	Rockhampton	1	
30/08/2024 11:32:04	Non-Rural	80	81	71	77.33	75.75		Australian National University	7	75.75																			N/A	0	0	0							0	
30/08/2024 11:32:50	Non-Rural	58	73	71	67.33	68.25		Griffith University	6.911	68.25																			3rd	0	0	0							0	
30/08/2024 11:33:02	Rural	52	59	54	55	54.75		The University of Wollongong	6.396	54.75																			1st	0	0	0							5	
30/08/2024 11:33:43	Non-Rural	61	77	89	75.67	79		The University of Notre Dame Sydney	5.948	75.67																			3rd	0	0	0				None			0	
30/08/2024 11:34:00	Rural	68	60	57	61.67	60.5		The University of Queensland (Greater Brisbane)	7	61.67																			3rd	0	0	0							0	
30/08/2024 11:34:03	Non-Rural	61	69	71	67	68		The University of Notre Dame Sydney	6.646	67																			4th	0	0	0				None			0	
30/08/2024 11:34:35	Non-Rural	62	75	69	68.67	68.75		The University of Notre Dame Fremantle	6.59	68.67	The University of Melbourne	6.54	68.67	Deakin University	6.59	68.75													4th	0	0	0	Did not apply	No	WA Res				0	
30/08/2024 11:34:55	Non-Rural	60	71	75	68.67	70.25		Griffith University	6.979	70.25																			N/A	0	0	0							0	
30/08/2024 11:36:29	Non-Rural	59	68	63	63.33	63.25		The University of Wollongong	6.729	63.25																			4th	0	0	0							2	
30/08/2024 11:36:42	Rural	54	63	55	57.33	56.75		The University of Wollongong	5.87	56.75																			4th	0	0	0							4	
30/08/2024 11:37:11	Non-Rural	57	77	75	69.67	71		Macquarie University	6.625	71																			1st	0	0	0							0	
30/08/2024 11:37:29	Non-Rural	69	85	57	70.33	67		The University of Notre Dame Sydney	6.757	70.33																			4th	0	0	0				None			0	
30/08/2024 11:37:36	Non-Rural	75	75	77	75.67	76		The University of Queensland (Greater Brisbane)	6.813	75.67																			N/A	0	0	0							0	
30/08/2024 11:37:36	Non-Rural	59	82	52	64.33	61.25		The University of Notre Dame Fremantle	6.4	64.33																			4th	0	0	0			WA Res				0	mature age student and career scientist/research
30/08/2024 11:38:24	Rural	50	62	51	54.33	53.5		Griffith University	6.74	53.5																			N/A	0	0	0							0	
30/08/2024 11:39:55	Non-Rural	68	73	94	78.33	82.25		The University of Notre Dame Fremantle	5.486	78.33	The University of Wollongong	5.3	82.25	The University of Notre Dame Sydney	5.486	78.33	The University of Queensland (Greater Brisbane)	5.625	78.33	Australian National University	5.486	82.25	Deakin University	5.549	82.25				4th	2	4	0	Did not apply		None	None			4	
30/08/2024 11:39:57	Non-Rural	62	86	68	72	71		The University of Notre Dame Sydney	6.948	72																			4th	0	0	0				None			0	
30/08/2024 11:40:16	Non-Rural	58	65	63	62	62.25		Deakin University	6.66	62.25	The University of Wollongong	6.455	62.25	The University of Queensland (Greater Brisbane)	6.565	62	Griffith University	6.507	62.25										3rd	0	10	0	Did not apply						2	
30/08/2024 11:40:28	Non-Rural	56	69	55		58.75					Deakin University	6.83	58.75																4th	0	4	0	Did not apply						0	
30/08/2024 11:40:39	Non-Rural	57	79	59	65	63.5		The University of Notre Dame Sydney	6.979	65	The University of Melbourne	6.975	65	Deakin University	6.979	63.5													4th	0	0	0	Did not apply	No		None			0	
30/08/2024 11:41:17	Non-Rural	67	79	71	72.33	72		The University of Notre Dame Sydney	6.304	72.33	The University of Melbourne	6.308	72.33	Deakin University	6.308	72													4th	0	0	0	Did not apply	Yes		None			0	I'm sad :(
30/08/2024 11:41:52	Non-Rural	72	73	54	66.33	63.25		The University of Wollongong	6.007	63.25																			4th	0	0	0							4	
30/08/2024 11:42:01	Non-Rural	55	56	66	59	60.75		The University of Wollongong	6.292	60.75																			4th	0	0	0							1	
30/08/2024 11:42:51	Non-Rural	67	64	75	68.67	70.25		The University of Notre Dame Fremantle	6.6	68.67	The University of Wollongong	6.6	70.25	Deakin University	6.395	70.25	Griffith University	6.6	70.25	The University of Queensland (Greater Brisbane)	6.6	68.67	The University of Notre Dame Sydney	6.6	68.67				3rd	0	2	0	Did not apply		None	None			1	
30/08/2024 11:42:57	Non-Rural	59	59	59	59	59					Deakin University	5.813	59	Griffith University	6.913	59	The University of Wollongong	5.813	59	The University of Queensland (Greater Brisbane)	7	59	The University of Melbourne	6.033	59	Macquarie University	6.624	59	2nd	0	2	0	Did not apply	Yes					1	
30/08/2024 11:45:02	Non-Rural	57	74	72	67.67	68.75		The University of Queensland (RMP/DDMP)	6.825	67.67	The University of Melbourne	6.793	67.67																4th	0	0	0		No			Tier 3	Toowoomba	0	
30/08/2024 11:46:01	Non-Rural	72	77	83	77.33	78.75		The University of Queensland (Greater Brisbane)	6.938	77.33																			N/A	0	0	0							0	
30/08/2024 11:46:21	Non-Rural	62	59	70	63.67	65.25					The University of Wollongong	6.736	65.25	The University of Melbourne	6.83	63.67	Deakin University	6.81	65.25	The University of Notre Dame Sydney	6.73	63.67	Macquarie University	6.73	65.25	The University of Western Australia	6.66	65.25	2nd	0	4	0	Did not apply	No		None			2	
30/08/2024 11:46:30	Non-Rural	67	66	82	71.67	74.25		Griffith University	6.49	74.25																			N/A	0	0	0							0	
30/08/2024 11:46:37	Non-Rural	68	71	76	71.67	72.75		Griffith University	6.625	72.75																			4th	0	0	0							0	
30/08/2024 11:47:30	Non-Rural	62	72	74	69.33	70.5		The University of Wollongong	5.5	70.5																			4th	0	0	0							2	
30/08/2024 11:48:26	Non-Rural	58	66	70	64.67	66		The University of Queensland (RMP/DDMP)	6.99	64.67																			4th	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 11:48:53	Rural	75	75	53	67.67	64		Australian National University	6.948	64																			4th	0	0	0							0	
30/08/2024 11:49:46	Non-Rural	56	65	81	67.33	70.75		Deakin University	6.93	70.75	The University of Melbourne	6.91	67.33																4th	0	2	0	Did not apply	No					0	Nope
30/08/2024 11:51:25	Rural	72	61	59	64	62.75		The University of Notre Dame Fremantle	6.27	64																			4th	0	0	0			WA Res				0	
30/08/2024 11:52:47	Non-Rural	67	74	57	66	63.75		The University of Wollongong	6.948	63.75																			4th	0	0	0							2	
30/08/2024 11:54:45	Non-Rural	62	64	65	63.67	64		The University of Notre Dame Sydney	6.75	63.67	The University of Wollongong	6.75	64	The University of Queensland (Greater Brisbane)	6.786	63.67	Griffith University	6.778	64										4th	0	0	0				None			1	
30/08/2024 11:55:35	Non-Rural	65	59	71	65	66.5		The University of Notre Dame Fremantle	6.893	65	Deakin University	6.983	66.5	The University of Notre Dame Sydney	6.983	65	The University of Queensland (RMP/DDMP)	6.869	65	Griffith University	6.869	66.5	The University of Wollongong	6.893	66.5				3rd	0	0	0	Did not apply		None	None	Tier 3	Toowoomba	0	
30/08/2024 11:56:40	Rural	61	62	54	59	57.75		The University of Queensland (RMP/DDMP)	6.397	59																			3rd	0	0	0					Tier 2	Toowoomba	0	
30/08/2024 11:56:41	Non-Rural	67	72	73	70.67	71.25		The University of Notre Dame Sydney	6.575	70.67																			3rd	0	0	0				None			0	
30/08/2024 11:57:51	Rural	54	56	52	54	53.5		Griffith University	6.885	53.5																			4th	0	0	0							0	
30/08/2024 11:58:00	Non-Rural	68	66	63	65.67	65		The University of Notre Dame Sydney	6.69	65.67																			4th	0	0	0				None			0	
30/08/2024 11:58:09	Non-Rural	59	68	71	66	67.25		Deakin University	6.906	67.25																			2nd	0	4	0	Did not apply						0	
30/08/2024 11:59:30	Non-Rural	73	72	62	69	67.25		The University of Queensland (Greater Brisbane)	7	69																			4th	0	0	0							0	
30/08/2024 12:00:25	Non-Rural	57	66	77	66.67	69.25		Australian National University	6.778	69.25	The University of Notre Dame Sydney	6.653	66.67																1st	2	0	0				None			0	
30/08/2024 12:00:36	Non-Rural	59	80	62	67	65.75		Griffith University	6.938	65.75	The University of Melbourne	6.938	67	Deakin University	6.927	65.75	Australian National University	6.927	65.75										N/A	0	2	0	Did not apply	Yes					0	GAM (financial disadvantage + personal difficulties)
30/08/2024 12:01:23	Non-Rural	65	54	70	63	64.75		The University of Notre Dame Fremantle	6.792	63	The University of Wollongong	6.792	64.75	The University of Queensland (Greater Brisbane)	6.75	63	The University of Melbourne	6.75	63										4th	0	0	0		Yes	None				1	
30/08/2024 12:02:22	Non-Rural	70	65	58	64.33	62.75		The University of Queensland (Greater Brisbane)	7	64.33																			3rd	0	0	0							0	
30/08/2024 12:03:16	Non-Rural	63	63	67	64.33	65		Macquarie University	6.901	65																			3rd	0	0	0							0	
30/08/2024 12:04:25	Rural	51	62	54	55.67	55.25		The University of Queensland (Greater Brisbane)	6.4	55.67																			N/A	0	0	0							0	
30/08/2024 12:05:35	Non-Rural	60	86	64	70	68.5		The University of Notre Dame Fremantle	6.438	70	The University of Wollongong	6.438	68.5																3rd	0	0	0			None				1	
30/08/2024 12:06:11	Non-Rural	62	65	84	70.33	73.75		The University of Queensland (RMP/DDMP)	6.75	70.33																			4th	0	0	0					Tier 3	Rockhampton	0	
30/08/2024 12:06:39	Non-Rural	73	60	96	76.33	81.25		The University of Queensland (Greater Brisbane)	6.2	76.33																			N/A	0	0	0							0	
30/08/2024 12:06:59	Non-Rural	70	71	59	66.67	64.75		The University of Wollongong	6.895	64.75																			4th	0	0	0							4	
30/08/2024 12:07:21	Non-Rural	71	67	89	75.67	79		Deakin University	5.963	79	The University of Notre Dame Sydney	5.986	75.67	The University of Wollongong	5.986	79	The University of Melbourne	5.984	75.67										3rd	0	4	0	Did not apply	No		None			0	
30/08/2024 12:07:31	Non-Rural	65	68	64	65.67	65.25					The University of Wollongong	5.813	65.25	Australian National University	5.813	65.25	The University of Queensland (RMP/DDMP)	5.864	65.67	The University of Notre Dame Sydney	5.813	65.67	Griffith University	5.917	65.25	The University of Notre Dame Fremantle	5.813	65.67	3rd	0	0	0			None	None	Tier 3	Toowoomba	1	
30/08/2024 12:07:35	Non-Rural	63	73	79	71.67	73.5		The University of Notre Dame Sydney	7	71.67																			4th	0	0	0				None			0	
30/08/2024 12:08:31	Non-Rural	63	58	68	63	64.25		The University of Queensland (Greater Brisbane)	7	63	The University of Wollongong	6.427	64.25	The University of Notre Dame Sydney	6.427	63													1st	0	0	0				None			2	Applied RMP- recieved GB interview -Luke
30/08/2024 12:08:44	Non-Rural	63	61	76	66.67	69		Griffith University	6.771	69	The University of Melbourne	6.85	66.67	Deakin University	6.854	69	Australian National University	6.833	69	The University of Queensland (Greater Brisbane)	6.594	66.67							N/A	0	2	0	Did not apply	No					0	
30/08/2024 12:09:59	Non-Rural	61	76	65	67.33	66.75		The University of Notre Dame Sydney	6.655	67.33	Griffith University	6.569	66.75	The University of Queensland (Greater Brisbane)	6.655	67.33	Australian National University	6.655	66.75	Macquarie University	6.655	66.75							4th	0	0	0				None			0	
30/08/2024 12:10:03	Non-Rural	58	72	67	65.67	66		The University of Queensland (Greater Brisbane)	7	65.67	The University of Melbourne	7	65.67																N/A	0	0	0		No					0	
30/08/2024 12:10:06	Non-Rural	68	55	66	63	63.75		The University of Queensland (Greater Brisbane)	7	63																			N/A	0	0	0							0	
30/08/2024 12:10:07	Non-Rural	68	82	52	67.33	63.5		The University of Notre Dame Sydney	6.333	67.33	The University of Wollongong	6.33	63.5	The University of Queensland (Greater Brisbane)	6.375	67.33													4th	0	0	0				None			1	
30/08/2024 12:11:00	Non-Rural	67	72	55	64.67	62.25					The University of Melbourne	6.2	64.67	Griffith University	6.15	62.25													N/A	0	0	0		Yes					0	
30/08/2024 12:11:19	Rural	60	79	72	70.33	70.75		Deakin University	6.77	70.75																			2nd	0	10	0	Tier 2						0	
30/08/2024 12:11:19	Non-Rural	63	69	60	64	63		The University of Notre Dame Fremantle	6.917	64	The University of Queensland (RMP/DDMP)	6.9	64	The University of Wollongong	6.917	63	Griffith University	6.917	63										4th	0	0	0			None		Tier 3	Toowoomba	0	
30/08/2024 12:12:13	Rural	58	50	55	54.33	54.5		The University of Queensland (RMP/DDMP)	6.948	54.33																			3rd	0	0	0					Tier 1 (CQ/WB)	Rockhampton	0	
30/08/2024 12:12:24	Non-Rural	64	76	69	69.67	69.5		The University of Notre Dame Fremantle	6.604	69.67																			3rd	0	0	0			None				0	
30/08/2024 12:14:37	Non-Rural	65	65	77	69	71		The University of Wollongong	6.99	71																			4th	0	0	0							3	
30/08/2024 12:15:06	Rural	70	59	68	65.67	66.25		The University of Wollongong	6.2	66.25																			3rd	0	0	0							3	
30/08/2024 12:16:31	Non-Rural	62	78	68	69.33	69		The University of Queensland (RMP/DDMP)	6.844	69.33																			4th	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 12:16:41	Rural	58	71	58	62.33	61.25		The University of Wollongong	6.44	61.25																			3rd	0	0	0							5	
30/08/2024 12:17:15	Rural	60	64	60	61.33	61		Griffith University	6.82	61																			2nd	0	0	0							0	
30/08/2024 12:17:23	Non-Rural	52	61	72	61.67	64.25					The University of Wollongong	6.771	64.25	The University of Notre Dame Sydney	6.771	61.67	The University of Notre Dame Fremantle	6.771	61.67	Griffith University	6.729	64.25	The University of Western Australia	6.604	64.25	The University of Melbourne	6.775	61.67	3rd	0	0	0		No	None	None			1	
30/08/2024 12:17:26	Non-Rural	59	69	61	63	62.5		The University of Queensland (Greater Brisbane)	7	63	The University of Melbourne	6.675	63	Deakin University	6.708	62.5													2nd	0	0	0	Did not apply	No					0	
30/08/2024 12:18:49	Non-Rural	65	71	70	68.67	69		The University of Notre Dame Sydney	6.75	68.67	The University of Wollongong	6.75	69	The University of Melbourne	6.73	68.67	Australian National University	6.75	69										4th	0	0	0		No		None			1	
30/08/2024 12:19:25	Non-Rural	55	81	70	68.67	69		The University of Notre Dame Sydney	6.6	68.67																			4th	0	0	0				None			0	
30/08/2024 12:19:35	Rural	66	71	56	64.33	62.25		The University of Notre Dame Sydney	6.719	64.33																			3rd	0	0	0				None			0	
30/08/2024 12:20:40	Non-Rural	62	66	76	68	70		The University of Wollongong	6.333	70																			4th	0	0	0							1	
30/08/2024 12:21:28	Non-Rural	63	59	66	62.67	63.5		The University of Notre Dame Fremantle	6.677	62.67																			4th	0	0	0			WA Res				0	
30/08/2024 12:21:30	Rural	67	54	52	57.67	56.25		Deakin University	6.792	56.25																			N/A	0	12	0	Did not apply						0	
30/08/2024 12:21:41	Non-Rural	65	74	63	67.33	66.25		Deakin University	6.667	66.25																			N/A	0	8	0	Did not apply						0	
30/08/2024 12:22:08	Non-Rural	63	69	64	65.33	65		The University of Queensland (RMP/DDMP)	6.89	65.33																			1st	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 12:25:54	Non-Rural	53	63	86	67.33	72		Griffith University	6.9	72																			4th	0	0	0							0	
30/08/2024 12:26:40	Non-Rural	60	72	65	65.67	65.5		The University of Western Australia	6.875	65.5																			3rd	0	0	0							0	
30/08/2024 12:26:47	Non-Rural	66	72	70	69.33	69.5		The University of Notre Dame Sydney	6.458	69.33	Deakin University	6.458	69.5																4th	0	0	0	Did not apply			None			0	
30/08/2024 12:28:22	Non-Rural	67	72	54	64.33	61.75					The University of Wollongong	5.9	61.75	The University of Notre Dame Sydney	6.1	64.33	Macquarie University	6.1	61.75										2nd	0	0	0				None			3	
30/08/2024 12:29:04	Non-Rural	70	67	68	68.33	68.25		The University of Queensland (RMP/DDMP)	7	68.33																			3rd	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 12:29:57	Non-Rural	67	81	67	71.67	70.5		The University of Notre Dame Sydney	6.5	71.67	Australian National University	6.607	70.5																4th	2	0	0				None			0	
30/08/2024 12:31:40	Rural	66	70	61	65.67	64.5		Griffith University	6.625	64.5																			N/A	0	0	0							0	
30/08/2024 12:31:53	Rural	60	58	55	57.67	57		Deakin University	5.885	57																			N/A	0	10	0	Tier 1						0	
30/08/2024 12:32:13	Non-Rural	60	68	65	64.33	64.5		The University of Notre Dame Fremantle	6.9	64.33																			4th	0	0	0			WA Res				0	
30/08/2024 12:32:21	Non-Rural	68	62	70	66.67	67.5		Deakin University	6.917	67.5																			N/A	0	6	0	Did not apply						0	
30/08/2024 12:33:10	Non-Rural	59	68	51	59.33	57.25					The University of Wollongong	6.1	57.25	The University of Melbourne	6.1	59.33	The University of Notre Dame Fremantle	6.1	59.33	Deakin University	6.1	57.25							4th	0	2	0	Did not apply	Yes	WA Res				2	
30/08/2024 12:33:27	Non-Rural	63	63	84	70	73.5		The University of Notre Dame Sydney	6.607	70	The University of Melbourne	6.579	70	Deakin University	6.607	73.5													3rd	0	0	0	Did not apply	Yes		None			0	
30/08/2024 12:33:40	Non-Rural	57	57	70	61.33	63.5					Deakin University	6.5	63.5	The University of Wollongong	6.5	63.5	Australian National University	6.5	63.5	Griffith University	6.5	63.5	The University of Notre Dame Sydney	6.5	61.33	The University of Wollongong	6.5	63.5	1st	0	0	0	Did not apply			None			0	
30/08/2024 12:34:06	Non-Rural	58	68	61	62.33	62					Deakin University	6.854	62	The University of Wollongong	6.854	62	Griffith University	6.729	62	The University of Notre Dame Sydney	6.854	62.33	Australian National University	6.854	62	The University of Notre Dame Fremantle	6.854	62.33	4th	2	0	0	Did not apply		None	None			0	My GPA is really hard to calculate so not sure
30/08/2024 12:34:30	Non-Rural	66	75	98	79.67	84.25		Australian National University	6.2	84.25	The University of Melbourne	6.063	79.67																N/A	0	0	0		Yes					0	
30/08/2024 12:36:39	Non-Rural	66	52	78	65.33	68.5		Australian National University	6.903	68.5																			2nd	2	0	0							0	N/A
30/08/2024 12:37:35	Non-Rural	68	80	73	73.67	73.5		The University of Notre Dame Sydney	6.802	73.67	The University of Wollongong	6.802	73.5																4th	0	0	0				None			1	
30/08/2024 12:39:01	Rural	59	60	74	64.33	66.75		The University of Western Australia	6.7	66.75																			N/A	0	0	0							0	
30/08/2024 12:39:24	Non-Rural	77	75	71	74.33	73.5		The University of Melbourne	6.895	74.33																			N/A	0	0	0		No					0	
30/08/2024 12:39:52	Non-Rural	69	63	86	72.67	76		The University of Melbourne	6.955	72.67																			N/A	0	0	0		No					0	
30/08/2024 12:40:00	Non-Rural	56	73	74	67.67	69.25		The University of Western Australia	6.958	69.25																			4th	0	0	0							0	
30/08/2024 12:40:23	Non-Rural	70	65	69	68	68.25		The University of Notre Dame Fremantle	6.371	68																			4th	0	0	0			WA Res				0	
30/08/2024 12:41:09	Rural	64	71	63	66	65.25		The University of Melbourne	5.85	66																			N/A	0	0	0		Yes					0	
30/08/2024 12:41:10	Rural	57	72	55	61.33	59.75		The University of Queensland (RMP/DDMP)	5.85	61.33																			N/A	0	0	0					Tier 2	Toowoomba	0	Rural Applicant. Current healthcare worker.
30/08/2024 12:42:40	Rural	65	64	65	64.67	64.75		The University of Notre Dame Sydney	6.01	64.67																			2nd	0	0	0				None			0	
30/08/2024 12:43:24	Non-Rural	65	79	62	68.67	67		The University of Melbourne	6.963	68.67																			4th	0	0	0		No					0	
30/08/2024 12:43:35	Non-Rural	69	78	78	75	75.75					The University of Melbourne	6.6	75	Deakin University	6.3	75.75													N/A	0	0	0	Did not apply	Yes					0	
30/08/2024 12:43:42	Non-Rural	56	71	81	69.33	72.25		The University of Melbourne	6.925	69.33																			N/A	0	0	0		No					0	
30/08/2024 12:43:44	Non-Rural	61	70	78	69.67	71.75		The University of Melbourne	6.925	69.67																			2nd	0	0	0		No					0	
30/08/2024 12:44:17	Non-Rural	65	64	63	64	63.75		The University of Western Australia	7	63.75																			3rd	0	0	0							0	
30/08/2024 12:44:47	Rural	67	66	84	72.33	75.25		The University of Melbourne	6.946	72.33																			3rd	0	0	0		No					0	
30/08/2024 12:44:57	Non-Rural	73	85	95	84.33	87		The University of Melbourne	6.713	84.33																			N/A	0	0	0		No					0	
30/08/2024 12:46:42	Non-Rural	58	70	75	67.67	69.5		The University of Notre Dame Sydney	6.25	67.67																			4th	0	0	0				None			0	Pre-med
30/08/2024 12:47:02	Non-Rural	65	63	71	66.33	67.5		The University of Western Australia	6.83	67.5	The University of Wollongong	6.83	67.5	The University of Notre Dame Sydney	6.83	66.33	The University of Notre Dame Fremantle	6.83	66.33										2nd	0	0	0			None	None			1	
30/08/2024 12:47:23	Non-Rural	68	65	71	68	68.75		The University of Melbourne	7	68																			3rd	0	0	0		No					0	
30/08/2024 12:47:50	Rural	64	80	63	69	67.5		Griffith University	6.685	67.5																			N/A	0	0	0							0	
30/08/2024 12:48:14	Non-Rural	61	61	68	63.33	64.5		The University of Wollongong	6.55	64.5																			4th	0	0	0							4	
30/08/2024 12:48:16	Non-Rural	60	77	60	65.67	64.25		Deakin University	6.7	64.25	The University of Melbourne	6.7	65.67																3rd	0	8	0	Did not apply	Yes					0	
30/08/2024 12:48:22	Non-Rural	68	73	73	71.33	71.75		The University of Melbourne	6.667	71.33	The University of Queensland (Greater Brisbane)	6.264	71.33																N/A	0	0	0		No					0	
30/08/2024 12:49:39	Non-Rural	68	71	74	71	71.75		The University of Melbourne	6.986	71																			3rd	0	0	0		Yes					0	
30/08/2024 12:49:42	Non-Rural	69	72	78	73	74.25		The University of Melbourne	7	73																			N/A	0	0	0		No					0	
30/08/2024 12:50:07	Non-Rural	77	76	73	75.33	74.75		The University of Notre Dame Sydney	6.852	75.33																			3rd	0	0	0				None			0	
30/08/2024 12:51:04	Non-Rural	61	72	78	70.33	72.25		The University of Notre Dame Sydney	6.906	70.33																			3rd	0	0	0				None			0	
30/08/2024 12:51:23	Non-Rural	62	78	68	69.33	69		The University of Melbourne	6.811	69.33																			4th	0	0	0		No					0	
30/08/2024 12:52:07	Rural	63	57	59	59.67	59.5		The University of Western Australia	5.57	59.5																			N/A	0	0	0							0	Rural MM5
30/08/2024 12:52:52	Rural	61	84	76	73.67	74.25		The University of Melbourne	6.9	73.67																			4th	0	0	0		No					0	
30/08/2024 12:53:51	Non-Rural	70	65	71	68.67	69.25		The University of Queensland (Greater Brisbane)	7	68.67																			N/A	0	0	0							0	
30/08/2024 12:55:16	Non-Rural	65	55	68	62.67	64		The University of Wollongong	6.64	64																			3rd	0	0	0							4	
